,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.14,0.36,0.37,1.0,0.33,0.56,0.57,0.1,0.14,0.41
ffigo.csv,0.29,0.24,0.72,0.46,0.38,0.63,0.73,0.0,0.99,0.3
foursquared.csv,0.16,0.29,0.58,0.42,0.96,0.67,0.55,0.0,0.56,0.41
gebr.csv,0.4,0.26,0.94,0.5,0.6,0.7,0.73,0.21,0.75,0.46
ildjit.csv,0.93,0.15,0.11,0.0,0.13,0.05,0.12,0.29,0.07,0.09
jfreereport.csv,0.47,0.93,0.59,0.22,0.11,0.36,0.39,0.21,0.53,0.22
kml.csv,0.13,0.3,0.54,0.48,0.55,1.0,0.68,0.06,0.67,0.47
ng4j.csv,0.11,0.26,0.61,0.45,0.64,0.67,0.0,0.1,0.48,1.0
pcsx2.csv,0.14,0.29,0.69,0.17,0.4,0.69,0.99,0.0,0.42,0.33
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
