,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.23,0.39,0.81,0.14,0.26,0.61,0.26,0.69,0.29,0.54,0.45,0.83,0.65,0.18,0.7
fmri-dmt.csv,0.63,0.63,0.73,0.42,0.68,0.92,0.23,0.28,0.44,0.65,0.95,0.66,0.62,0.93,0.86
ftm.csv,0.15,0.63,0.05,0.15,0.26,0.24,0.18,0.11,0.33,0.12,0.05,0.15,0.35,0.58,0.22
fulguro.csv,0.44,0.0,0.08,0.11,0.91,0.42,0.77,0.57,0.06,0.42,0.7,0.08,0.34,0.58,0.32
gss.csv,0.96,0.72,0.81,0.82,0.83,0.76,1.0,0.95,1.0,0.66,0.25,0.86,0.8,0.59,0.38
illumination.csv,0.0,0.0,0.0,0.0,0.97,0.95,0.68,0.41,0.0,0.12,0.7,0.0,0.0,0.97,0.01
ldview.csv,0.57,0.99,0.32,1.0,0.74,1.0,0.66,0.39,0.69,0.85,0.65,0.34,0.04,1.0,0.71
monetdb.csv,0.31,0.29,0.43,0.27,0.27,0.29,0.19,0.28,0.31,0.46,0.1,0.46,0.52,0.46,0.28
netatalk.csv,0.53,0.61,0.43,0.65,0.85,0.29,0.89,0.93,0.98,0.68,0.85,0.63,0.93,0.24,0.87
olex2.csv,0.34,0.86,0.03,0.09,0.61,0.16,0.47,0.43,0.35,0.11,0.05,0.25,0.45,0.58,0.06
qpe.csv,0.27,0.63,0.11,0.44,0.25,0.34,0.39,0.14,0.56,0.28,0.15,0.07,0.08,0.71,0.44
quark.csv,0.05,0.0,0.11,0.07,0.09,0.0,0.05,0.06,0.23,0.02,0.0,0.04,0.11,0.0,0.14
sepgsql.csv,0.25,0.32,0.24,0.26,0.18,0.24,0.23,0.2,0.38,0.32,0.1,0.39,0.52,0.15,0.87
synergyspace.csv,0.37,0.27,0.05,0.1,0.67,0.16,0.76,0.28,0.21,0.35,0.2,0.15,0.01,0.14,0.06
