,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,exl.csv
avifile.csv,99.0,478.0,97.5,2193.0,144.0,93.5,113.5,828.5,197.5,411.5,99.0,1622.5,781.5,98.5,197.5,1840.5,194.0,99.0,386.0,197.5
baadengine.csv,99.0,2664.5,99.0,3375.0,97.5,96.5,192.0,1071.5,99.0,623.5,99.0,1622.5,794.5,98.5,98.5,198.0,293.5,99.0,386.0,99.0
bibedt.csv,92.5,592.0,99.0,1061.0,97.5,192.0,94.5,291.0,99.0,69.5,99.0,57.5,158.0,95.5,98.5,995.5,96.5,99.0,349.0,98.5
cascading.csv,198.0,1842.5,99.0,1287.5,97.5,96.5,192.0,874.0,99.0,245.5,99.0,1907.0,425.5,98.5,197.5,1924.5,293.5,99.0,519.0,98.5
dataobjectsdotnet.csv,198.0,2863.5,98.5,1187.0,97.5,96.5,192.0,288.5,99.0,1893.0,99.0,622.0,531.0,95.5,197.5,2536.0,96.5,99.0,386.0,99.0
exl.csv,97.5,2159.0,99.0,3237.5,97.5,99.0,94.5,972.5,197.5,981.5,99.0,156.5,437.5,98.5,197.5,198.0,293.5,99.0,496.5,98.5
gogoego.csv,97.5,1858.0,99.0,1902.5,97.5,99.0,192.0,674.5,99.0,1469.5,96.5,606.0,531.0,193.0,197.5,198.0,293.5,99.0,268.5,79.5
httpcontentparser.csv,99.0,1276.5,98.5,1754.5,97.5,93.5,74.5,581.5,99.0,161.0,98.5,1787.5,536.0,95.5,196.5,900.0,195.0,567.0,93.5,89.5
impala.csv,95.5,1735.0,77.5,1284.0,97.5,99.0,94.5,3447.5,99.0,1011.0,99.0,813.5,699.0,193.0,340.0,1177.5,95.5,470.5,93.5,187.5
jaxlib.csv,99.0,706.0,99.0,3232.5,97.5,96.5,94.5,780.5,99.0,1621.5,99.0,199.5,165.0,98.5,98.5,1804.0,195.0,99.0,189.0,98.5
jgameai.csv,11.5,688.5,68.5,535.5,94.5,93.5,192.0,510.0,99.0,162.0,99.0,319.0,794.5,190.0,12.5,1171.5,95.5,189.0,0.0,0.0
jhotdraw.csv,99.0,1176.5,99.0,1977.5,191.0,99.0,0.0,874.0,98.5,1155.0,99.0,1140.0,231.5,92.5,92.5,1383.5,293.5,99.0,27.5,99.0
loki-lib.csv,99.0,828.5,99.0,3226.0,97.5,96.5,94.5,678.5,99.0,730.0,98.5,710.5,527.0,98.5,98.5,1492.5,95.5,99.0,93.5,75.5
patterntesting.csv,198.0,2759.5,99.0,4544.0,97.5,99.0,192.0,1267.0,99.0,428.5,99.0,1532.0,519.0,98.5,197.5,198.0,293.5,99.0,386.0,99.0
pokeglobal.csv,198.0,2305.5,98.5,696.0,97.5,96.5,192.0,389.5,99.0,1338.0,99.0,1588.0,708.0,98.5,197.5,198.0,195.0,294.5,333.0,98.5
snakeyaml.csv,97.5,977.5,99.0,726.5,97.5,96.5,94.5,694.0,98.5,233.5,99.0,690.0,343.0,178.0,194.5,1219.0,95.5,479.5,137.0,79.5
unflobtactical.csv,198.0,1531.0,99.0,2534.5,97.5,99.0,94.5,1236.0,99.0,332.0,99.0,977.5,417.5,98.5,98.5,1727.5,293.5,99.0,93.5,99.0
werx.csv,198.0,2610.5,99.0,4544.0,97.5,99.0,192.0,1267.0,99.0,1893.0,99.0,1622.5,794.5,98.5,197.5,198.0,292.5,99.0,386.0,99.0
zealos.csv,99.0,402.0,91.5,1250.5,54.5,208.5,94.5,472.0,198.0,361.0,99.0,706.0,165.5,98.5,95.5,727.5,194.0,84.5,428.5,98.5
