,adaptagrams.csv,lazarus-ccr.csv,redshell.csv,intact.csv,rohxel.csv,japano.csv,red5.csv,pustefix.csv,officefloor.csv,toped.csv,customsagetv.csv,roolo.csv,xreal.csv,glas.csv,jas.csv,primefaces.csv
adaptagrams.csv,0.04,0.8,0.81,0.78,0.77,0.75,0.8,0.83,0.68,0.59,1.01,0.82,1.02,0.98,0.63,0.9
customsagetv.csv,0.89,1.0,0.98,0.97,0.92,1.0,0.84,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
glas.csv,0.61,0.69,1.01,0.65,0.82,0.69,0.68,0.65,0.83,0.63,0.8,0.57,0.67,0.06,0.47,0.64
intact.csv,0.54,0.92,0.84,0.03,0.62,0.74,0.67,0.89,0.55,0.92,0.7,0.75,0.87,0.98,0.43,0.94
japano.csv,0.75,0.96,0.75,0.95,0.51,0.01,0.91,0.97,0.95,1.0,1.0,1.0,0.95,0.97,0.82,0.9
jas.csv,0.97,0.92,0.81,0.76,0.87,0.93,0.76,0.88,0.98,0.92,0.89,0.61,1.01,1.0,0.12,0.85
lazarus-ccr.csv,0.82,0.08,0.61,0.78,0.79,0.77,0.81,0.79,0.68,1.04,0.98,0.54,0.85,0.58,0.73,0.6
officefloor.csv,0.9,0.88,0.85,0.71,0.84,0.8,0.83,0.73,0.21,0.93,1.0,0.7,1.04,0.51,1.0,0.66
primefaces.csv,1.01,0.79,1.01,0.79,1.01,1.1,0.75,0.81,0.85,0.9,0.89,0.71,0.77,1.0,0.7,0.04
pustefix.csv,0.55,1.02,0.9,0.82,0.86,0.66,0.58,0.09,0.86,0.65,0.46,0.64,0.47,0.97,0.62,0.77
red5.csv,0.7,0.77,0.79,0.8,0.63,0.83,0.02,0.58,0.62,0.71,0.98,0.88,0.95,0.66,0.64,0.78
redshell.csv,0.61,0.79,0.12,0.79,0.58,1.02,0.93,0.67,0.67,0.89,0.93,0.85,1.05,1.0,0.98,0.84
rohxel.csv,0.55,0.79,0.86,0.6,0.0,0.67,0.62,0.67,0.51,0.89,0.8,0.86,0.75,0.64,0.89,0.82
roolo.csv,0.77,0.73,0.93,0.67,0.8,0.77,0.75,0.96,0.79,0.91,0.94,0.05,1.01,0.97,0.91,0.84
toped.csv,0.83,0.79,0.9,0.68,0.9,0.86,0.74,0.59,0.96,0.11,0.66,0.81,0.92,0.96,0.94,0.89
xreal.csv,0.89,0.91,0.98,1.0,0.9,0.98,0.91,0.92,1.0,0.98,0.63,1.0,0.0,0.97,1.0,0.98
