,adaptagrams.csv,lazarus-ccr.csv,redshell.csv,intact.csv,rohxel.csv,japano.csv,red5.csv,pustefix.csv,officefloor.csv,toped.csv,customsagetv.csv,roolo.csv,xreal.csv,glas.csv,jas.csv,primefaces.csv
adaptagrams.csv,0.36,0.89,0.8,0.94,0.78,0.64,0.65,0.88,0.76,0.52,0.8,0.73,0.92,0.8,0.93,0.71
customsagetv.csv,0.75,0.0,0.75,0.5,0.67,0.5,0.9,0.0,0.97,0.0,0.5,0.0,0.0,0.0,0.0,0.0
glas.csv,0.69,0.76,0.66,0.61,0.62,0.57,0.43,0.61,0.58,0.44,0.58,0.54,0.67,0.58,0.7,0.48
intact.csv,0.56,0.39,0.8,0.76,0.62,0.57,0.65,0.87,0.52,0.48,0.45,0.57,0.67,0.89,0.67,0.91
japano.csv,0.36,0.35,0.49,0.35,0.52,0.49,0.37,0.4,0.47,0.34,0.32,0.41,0.38,0.48,0.5,0.37
jas.csv,0.67,0.87,0.98,0.75,0.49,0.89,0.56,0.91,0.99,0.56,0.33,0.72,0.95,0.0,0.86,0.83
lazarus-ccr.csv,0.65,0.59,0.59,0.5,0.58,0.56,0.62,0.46,0.49,0.52,0.81,0.57,0.54,0.62,0.69,0.45
officefloor.csv,0.86,0.8,0.97,0.95,0.44,0.57,0.45,0.54,0.97,0.86,0.5,0.59,0.8,0.78,0.8,0.63
primefaces.csv,0.35,0.86,0.5,0.39,0.34,0.47,0.4,0.42,0.64,0.35,0.42,0.47,0.44,0.47,0.47,0.42
pustefix.csv,0.31,0.7,0.75,0.76,0.55,0.67,0.6,0.81,0.69,0.38,0.43,0.72,0.65,0.75,0.63,0.78
red5.csv,0.36,0.41,0.64,0.44,0.42,0.47,0.45,0.49,0.47,0.68,0.39,0.41,0.62,0.49,0.65,0.33
redshell.csv,0.53,0.53,0.47,0.38,0.55,0.41,0.32,0.47,0.37,0.32,0.32,0.36,0.83,0.47,0.55,0.36
rohxel.csv,0.28,0.33,0.46,0.46,0.44,0.47,0.67,0.41,0.46,0.33,0.45,0.45,0.46,0.55,0.81,0.35
roolo.csv,0.86,0.62,0.98,0.75,0.89,0.71,0.89,0.88,0.91,0.88,0.9,0.84,0.97,0.75,0.76,0.91
toped.csv,0.5,0.44,0.51,0.44,0.75,0.55,0.75,0.52,0.47,0.33,0.37,0.52,0.4,0.47,0.44,0.69
xreal.csv,0.75,0.93,0.67,0.0,0.75,0.67,0.8,0.89,0.5,0.0,0.95,0.0,0.8,0.67,0.0,0.5
