,adaptagrams.csv,lazarus-ccr.csv,redshell.csv,intact.csv,rohxel.csv,japano.csv,red5.csv,pustefix.csv,officefloor.csv,toped.csv,customsagetv.csv,roolo.csv,xreal.csv,glas.csv,jas.csv,primefaces.csv
adaptagrams.csv,0.96,0.21,0.23,0.23,0.23,0.26,0.23,0.17,0.34,0.45,0.0,0.2,0.0,0.03,0.38,0.15
customsagetv.csv,0.12,0.0,0.02,0.03,0.08,0.01,0.16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
glas.csv,0.42,0.38,0.32,0.43,0.38,0.35,0.6,0.39,0.53,0.47,0.29,0.55,0.4,0.95,0.75,0.48
intact.csv,0.5,0.79,0.25,0.97,0.38,0.27,0.37,0.13,0.61,0.51,0.54,0.35,0.2,0.03,0.62,0.1
japano.csv,0.92,1.0,0.92,0.9,0.56,0.99,0.86,0.74,1.0,0.92,0.92,0.95,0.8,0.86,0.88,0.88
jas.csv,0.04,0.17,0.23,0.33,0.72,0.07,0.44,0.13,0.03,0.37,0.94,0.6,0.0,0.0,0.88,0.28
lazarus-ccr.csv,0.38,0.92,0.66,0.53,0.36,0.37,0.35,0.65,0.68,0.45,0.13,0.65,0.4,0.73,0.38,0.5
officefloor.csv,0.12,0.12,0.19,0.3,0.82,0.82,0.67,0.74,0.79,0.1,0.0,0.75,0.0,0.57,0.0,0.55
primefaces.csv,0.85,0.21,0.87,0.87,0.85,0.54,0.7,0.91,0.5,0.86,0.46,0.65,0.8,1.0,0.88,0.98
pustefix.csv,0.69,0.21,0.18,0.27,0.54,0.65,0.56,0.91,0.37,0.67,0.92,0.5,0.6,0.03,0.75,0.38
red5.csv,0.69,0.71,0.39,0.63,0.69,0.51,0.98,0.57,0.53,0.37,0.58,0.55,0.2,0.62,0.62,0.92
redshell.csv,0.46,0.29,1.0,0.77,0.49,0.78,0.98,0.43,0.89,0.96,0.96,0.45,0.0,0.97,0.12,0.6
rohxel.csv,0.88,0.75,0.57,0.7,1.0,0.62,0.4,0.48,0.58,0.9,0.58,0.55,0.6,0.59,0.12,0.75
roolo.csv,0.23,0.33,0.22,0.37,0.21,0.26,0.28,0.04,0.32,0.12,0.12,0.95,0.0,0.03,0.25,0.18
toped.csv,0.58,0.75,0.8,0.83,0.1,0.46,0.3,0.74,0.87,1.0,0.94,0.3,0.8,0.97,1.0,0.18
xreal.csv,0.12,0.17,0.02,0.0,0.1,0.02,0.09,0.09,0.0,0.02,0.37,0.0,1.0,0.03,0.0,0.02
