,adaptagrams.csv,lazarus-ccr.csv,redshell.csv,intact.csv,rohxel.csv,japano.csv,red5.csv,pustefix.csv,officefloor.csv,toped.csv,customsagetv.csv,roolo.csv,xreal.csv,glas.csv,jas.csv,primefaces.csv
adaptagrams.csv,0.98,0.3,0.37,0.29,0.38,0.41,0.33,0.26,0.09,0.61,0.0,0.26,0.0,0.05,0.26,0.22
customsagetv.csv,0.2,0.0,0.04,0.06,0.14,0.02,0.26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
glas.csv,0.52,0.44,0.47,0.39,0.5,0.51,0.61,0.39,0.04,0.62,0.36,0.5,0.07,0.96,0.2,0.55
intact.csv,0.59,0.56,0.4,0.98,0.55,0.43,0.48,0.16,0.08,0.62,0.54,0.34,0.03,0.04,0.26,0.16
japano.csv,0.71,0.64,0.94,0.43,0.69,1.0,0.7,0.35,0.06,0.88,0.67,0.5,0.05,0.52,0.13,0.71
jas.csv,0.07,0.21,0.37,0.3,0.74,0.13,0.49,0.18,0.01,0.5,0.7,0.49,0.0,0.0,0.93,0.35
lazarus-ccr.csv,0.41,0.96,0.78,0.35,0.48,0.53,0.42,0.37,0.06,0.56,0.18,0.54,0.03,0.59,0.11,0.58
officefloor.csv,0.18,0.21,0.31,0.37,0.8,0.88,0.62,0.41,0.83,0.17,0.0,0.51,0.0,0.58,0.0,0.59
primefaces.csv,0.61,0.32,0.91,0.46,0.8,0.67,0.65,0.45,0.04,0.85,0.45,0.46,0.06,0.57,0.15,0.98
pustefix.csv,0.65,0.21,0.3,0.25,0.62,0.77,0.62,0.95,0.03,0.76,0.8,0.44,0.12,0.05,0.15,0.45
red5.csv,0.61,0.56,0.56,0.38,0.75,0.66,0.99,0.43,0.07,0.52,0.5,0.37,0.02,0.51,0.14,0.76
redshell.csv,0.53,0.34,1.0,0.43,0.62,0.84,0.75,0.36,0.07,0.91,0.7,0.34,0.0,0.56,0.03,0.57
rohxel.csv,0.74,0.57,0.71,0.47,1.0,0.75,0.53,0.37,0.1,0.88,0.54,0.38,0.05,0.51,0.07,0.66
roolo.csv,0.36,0.4,0.35,0.38,0.33,0.41,0.39,0.06,0.04,0.2,0.17,0.97,0.0,0.05,0.06,0.27
toped.csv,0.52,0.57,0.87,0.49,0.19,0.61,0.41,0.47,0.05,0.99,0.75,0.29,0.05,0.57,0.13,0.25
xreal.csv,0.2,0.21,0.03,0.0,0.19,0.05,0.17,0.12,0.0,0.04,0.54,0.0,1.0,0.05,0.0,0.05
