,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv
checker-framework.csv,0.77,0.85,0.74,0.81,0.74,0.91,0.78,0.64,0.2,0.77,0.97,0.65,0.74,0.78,0.63
fluidium.csv,0.92,0.98,1.0,0.8,0.95,0.96,1.0,0.96,1.0,1.0,1.0,1.0,0.93,0.57,0.98
guineu.csv,0.54,0.89,0.82,0.68,0.81,0.68,0.71,0.82,0.85,0.88,0.77,1.03,0.69,1.0,0.71
inkscape.csv,0.77,0.66,1.0,1.0,0.78,0.86,0.43,0.78,0.86,0.65,0.91,1.0,0.94,0.64,0.94
mpqc.csv,0.93,0.9,1.0,1.0,0.87,0.47,0.8,0.82,1.01,0.85,0.72,0.78,0.98,0.84,0.83
nsis.csv,0.88,0.96,0.5,0.79,0.88,0.76,0.92,0.92,0.79,0.82,0.31,0.54,0.8,0.84,0.96
octave.csv,0.67,0.7,0.67,0.78,0.5,0.83,0.7,0.89,0.75,0.71,0.95,0.65,0.83,0.65,0.67
owfs.csv,0.9,0.96,0.91,0.65,0.68,0.9,0.8,0.96,0.47,0.92,1.01,1.0,0.74,0.87,0.91
owlib.csv,0.63,0.42,0.41,0.68,0.6,0.84,0.63,0.55,0.48,0.62,0.72,0.71,0.48,0.63,0.65
pamguard.csv,0.81,0.77,0.51,0.78,0.62,0.73,0.72,0.66,0.53,0.8,0.92,0.68,0.68,1.0,0.62
prelude.csv,0.98,0.98,0.17,0.83,0.91,0.91,0.84,0.93,0.88,0.8,1.08,0.52,0.93,0.64,0.94
robocode.csv,0.59,0.59,1.0,0.5,0.49,0.83,0.51,0.33,0.52,0.52,0.79,0.73,0.81,0.6,0.73
uwom-server.csv,0.81,0.78,1.0,1.0,0.54,0.82,0.56,0.86,0.94,0.57,0.72,0.51,0.89,0.68,0.79
zengine.csv,1.0,0.98,1.01,0.96,0.99,0.94,1.0,1.0,0.97,0.93,1.0,0.13,0.95,0.9,1.0
zildo.csv,0.52,0.73,0.41,0.78,0.61,0.81,0.62,0.66,0.48,0.68,0.89,0.48,0.39,0.77,0.73
