,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv
checker-framework.csv,0.39,0.43,0.64,0.39,0.39,0.45,0.4,0.43,0.5,0.57,0.6,0.5,0.39,0.49,0.43
fluidium.csv,0.67,0.75,0.0,0.66,0.5,0.92,0.0,0.67,0.5,0.0,0.0,0.0,0.67,0.52,0.5
guineu.csv,0.6,0.54,0.76,0.69,0.8,0.57,0.62,0.5,0.87,0.76,0.85,0.51,0.62,0.46,0.53
inkscape.csv,0.39,0.41,0.49,0.4,0.95,0.94,0.5,0.61,0.57,0.51,0.69,0.42,0.4,0.43,0.35
mpqc.csv,0.95,0.98,0.0,0.0,0.75,0.97,0.96,0.95,0.78,0.98,0.96,0.73,0.97,0.79,0.95
nsis.csv,0.38,0.44,0.47,0.57,0.39,0.57,0.39,0.62,0.6,0.53,0.57,0.39,0.42,0.77,0.34
octave.csv,0.46,0.64,0.71,0.62,0.59,0.9,0.94,0.45,0.7,0.64,0.76,0.46,0.72,0.54,0.53
owfs.csv,0.33,0.42,0.5,0.57,0.45,0.46,0.42,0.45,0.58,0.43,0.52,0.42,0.4,0.45,0.33
owlib.csv,0.33,0.38,0.38,0.36,0.42,0.36,0.35,0.3,0.33,0.39,0.36,0.38,0.35,0.4,0.58
pamguard.csv,0.76,0.91,0.36,0.59,0.63,0.83,0.55,0.48,0.5,0.74,0.86,0.58,0.5,0.0,0.45
prelude.csv,0.3,0.4,0.49,0.4,0.36,0.41,0.34,0.43,0.52,0.44,0.46,0.37,0.36,0.37,0.31
robocode.csv,0.39,0.48,0.0,0.53,0.44,0.41,0.35,0.44,0.54,0.51,0.41,0.46,0.41,0.38,0.44
uwom-server.csv,0.95,0.71,0.0,0.5,0.57,0.56,0.48,0.62,0.57,0.56,0.48,0.45,0.96,0.36,0.5
zengine.csv,0.31,0.4,0.49,0.39,0.39,0.44,0.36,0.43,0.53,0.43,0.47,0.42,0.37,0.46,0.33
zildo.csv,0.45,0.37,0.5,0.39,0.65,0.65,0.47,0.73,0.42,0.49,0.5,0.65,0.42,0.57,0.33
