,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,0.12,0.91,0.0,0.06,0.22,0.57,0.0,0.0,1.0,0.39,1.0,0.0,0.33,0.42,0.0
aten.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chaperon.csv,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0,1.0,0.67,1.0,1.0
co-ode-owl-plugins.csv,0.67,0.64,0.72,0.33,0.77,1.0,0.0,0.0,0.75,0.52,1.0,0.0,1.0,0.73,0.38
e-bio-flow.csv,0.61,0.86,0.89,0.94,0.8,0.73,1.0,1.0,0.0,0.57,1.0,1.0,0.33,0.64,0.29
free-evolution.csv,0.1,0.55,0.0,0.0,0.35,0.8,0.0,0.0,1.0,0.43,1.0,0.0,0.67,0.33,0.0
jaxlib.csv,0.9,0.68,0.78,0.89,0.99,0.93,0.0,1.0,1.0,1.0,1.0,0.56,1.0,0.94,1.0
jmonkeyengine.csv,0.86,0.5,0.0,0.67,0.72,0.8,0.0,0.0,1.0,0.87,0.0,0.0,1.0,0.94,0.33
jmule.csv,0.76,0.77,0.06,0.72,0.74,0.87,0.0,0.0,1.0,0.87,1.0,0.02,0.67,0.94,0.88
kaffeine.csv,0.98,1.0,1.0,1.0,0.92,0.87,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.97,1.0
nodal.csv,0.22,0.36,0.06,0.17,0.32,0.33,0.0,0.0,0.25,0.7,0.0,0.0,0.0,0.18,0.25
ogrehg.csv,1.0,1.0,1.0,1.0,0.97,1.0,0.51,1.0,1.0,0.96,1.0,0.95,1.0,1.0,1.0
onotoa.csv,0.8,1.0,1.0,1.0,0.97,0.6,1.0,1.0,0.0,0.96,1.0,1.0,0.0,0.94,1.0
papertoolkit.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0
xpontus.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0
