,kdenlive.csv,jatlas.csv,m-m-m.csv,x-ray-mule.csv,jrefactory.csv,algebsql.csv,emisview.csv,opennms.csv,rohxel.csv,cuberok.csv,jgossipforum.csv,octet.csv,power-architect.csv,jchassis.csv,jas.csv,poormans.csv,opendvr.csv,synecdoche.csv,javaprofiler.csv,thedata.csv
algebsql.csv,0.51,0.0,0.78,0.73,0.44,0.9,0.28,0.23,0.5,0.37,0.02,1.0,0.8,0.1,0.08,0.2,0.3,0.34,0.54,0.06
cuberok.csv,0.68,0.13,0.91,0.64,0.48,0.4,0.35,0.3,0.83,0.62,0.17,0.18,0.75,0.05,0.08,0.36,0.3,0.56,0.79,0.07
emisview.csv,0.0,0.14,0.67,0.0,0.38,0.5,0.52,0.28,0.81,0.0,0.05,0.2,0.79,0.0,0.26,0.35,0.0,0.0,1.0,0.0
jas.csv,0.72,0.03,0.9,0.73,0.35,0.55,0.36,0.31,0.73,0.43,0.03,0.23,0.86,0.06,0.25,0.2,0.24,0.32,0.79,0.0
jatlas.csv,0.64,0.36,0.82,0.33,0.64,0.52,0.27,0.22,1.0,0.35,0.0,0.14,0.73,0.0,0.11,0.4,0.5,0.58,0.75,0.08
javaprofiler.csv,0.72,0.11,0.85,0.6,0.52,0.41,0.43,0.23,0.77,0.37,0.06,0.12,0.77,0.03,0.07,0.23,0.27,0.4,0.88,0.04
jchassis.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
jgossipforum.csv,0.69,0.11,0.75,0.53,0.45,0.33,0.5,0.44,0.8,0.45,0.26,0.2,0.6,0.0,0.0,0.42,0.22,0.39,0.84,0.2
jrefactory.csv,0.74,0.03,0.9,0.42,0.75,0.52,0.25,0.1,0.81,0.36,0.01,0.09,0.83,0.04,0.02,0.13,0.25,0.49,0.67,0.06
kdenlive.csv,0.78,0.13,0.89,0.5,0.56,0.35,0.35,0.32,0.89,0.51,0.03,0.15,0.8,0.05,0.08,0.31,0.33,0.37,0.65,0.04
m-m-m.csv,0.69,0.09,0.91,0.72,0.61,0.48,0.33,0.2,0.79,0.4,0.01,0.09,0.82,0.04,0.05,0.24,0.35,0.38,0.71,0.06
octet.csv,0.59,0.07,0.76,0.14,0.32,0.55,0.33,0.29,0.73,0.32,0.03,0.35,0.82,0.0,0.12,0.26,0.17,0.42,0.65,0.05
opendvr.csv,0.62,0.16,0.72,0.5,0.45,0.61,0.33,0.34,0.8,0.48,0.04,0.6,0.79,0.0,0.12,0.37,0.55,0.41,0.71,0.06
opennms.csv,0.76,0.12,0.75,1.0,0.4,0.5,0.45,0.54,0.81,0.5,0.05,0.25,0.82,0.0,0.31,0.25,0.4,0.0,1.0,0.0
poormans.csv,0.64,0.22,0.77,0.0,0.79,0.27,0.37,0.25,1.0,0.53,0.05,0.67,0.65,0.0,0.16,0.46,0.71,0.27,1.0,0.12
power-architect.csv,0.64,0.07,0.86,0.59,0.51,0.59,0.39,0.25,0.77,0.42,0.02,0.15,0.98,0.04,0.09,0.22,0.29,0.39,0.67,0.05
rohxel.csv,0.77,0.12,1.0,0.85,0.62,0.0,0.32,0.14,0.94,0.45,0.0,0.12,0.62,0.0,0.5,0.49,0.35,0.39,0.75,0.11
synecdoche.csv,0.62,0.08,0.79,0.33,0.54,0.59,0.31,0.32,0.79,0.39,0.03,0.08,0.82,0.0,0.02,0.3,0.29,0.7,0.57,0.07
thedata.csv,0.76,0.12,0.81,0.52,0.6,0.46,0.21,0.26,0.74,0.35,0.03,0.11,0.78,0.0,0.09,0.23,0.29,0.42,0.71,0.44
x-ray-mule.csv,0.62,0.11,0.76,0.86,0.55,0.15,0.17,0.29,0.76,0.0,0.02,0.09,0.75,0.04,0.05,0.18,0.0,0.27,0.8,0.0
