,brlcad.csv,ogre.csv,autat.csv,mimosa.csv,google-web-toolkit.csv,ftm.csv,jcache.csv
autat.csv,0.97,1.07,0.54,1.04,0.68,0.55,0.8
brlcad.csv,0.44,1.05,0.6,1.0,0.77,0.72,1.0
ftm.csv,0.71,1.36,0.7,0.5,0.72,0.47,0.53
google-web-toolkit.csv,0.98,1.06,0.65,0.57,0.49,0.56,0.34
jcache.csv,0.68,1.06,0.61,0.52,0.69,0.73,0.19
mimosa.csv,0.93,1.01,0.94,0.27,0.85,0.93,0.41
ogre.csv,0.74,0.05,0.85,0.42,0.76,0.76,0.98
