,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.56,0.51,0.37,0.71,0.61,0.72,0.74,0.59,0.48,0.82
bscwweasel.csv,0.63,0.07,0.69,0.26,0.47,0.49,0.21,0.0,0.77,0.23
cme.csv,0.06,0.02,0.0,0.0,0.0,0.06,0.0,0.0,0.02,1.0
fido.csv,0.23,0.19,0.0,0.0,0.0,0.32,0.21,0.97,0.0,0.0
japano.csv,0.35,0.77,0.47,0.4,0.05,0.46,0.53,0.0,0.33,0.0
joustsim.csv,0.62,0.55,0.34,0.41,0.53,0.49,0.82,0.68,0.25,0.7
log4net.csv,0.34,0.23,0.97,0.34,0.04,0.38,0.73,0.0,0.48,0.23
personalaccess.csv,0.39,0.51,0.93,0.49,0.46,0.77,0.59,0.63,0.39,0.76
rcp-company-uibindings.csv,0.54,0.28,0.65,0.46,0.56,0.48,0.58,0.54,0.88,0.85
unbvision.csv,0.49,0.46,0.64,0.59,0.79,0.55,0.78,0.29,0.62,0.3
