,gpsmid.csv,emftriple.csv,fluent-nhibernate.csv,columba.csv
columba.csv,0.0,26.0,7.0,2.0
emftriple.csv,0.0,2.0,43.0,5.0
fluent-nhibernate.csv,0.0,150.0,2.0,4.0
gpsmid.csv,1.0,26.0,5.0,0.0
