,ifmo-game-1.csv,voms.csv,fm-classic.csv,foursquared.csv,micomt.csv,xpontus.csv,jmule.csv
fm-classic.csv,0.33,0.38,0.98,0.15,0.18,0.0,0.1
foursquared.csv,0.17,0.13,0.0,0.91,0.0,0.0,0.25
ifmo-game-1.csv,0.73,0.0,0.37,0.38,0.27,0.0,0.24
jmule.csv,0.61,0.58,0.8,0.62,0.78,0.82,0.88
micomt.csv,0.49,0.5,0.45,0.17,0.85,0.43,0.41
voms.csv,0.33,0.96,0.43,0.69,0.43,0.67,0.05
