,red5.csv,thrust.csv,miranda-icq.csv,dataobjectsdotnet.csv
dataobjectsdotnet.csv,0.88,0.0,0.46,0.64
miranda-icq.csv,0.46,0.82,0.82,0.71
red5.csv,0.46,0.57,0.47,0.5
thrust.csv,0.93,0.88,0.75,0.81
