,red5.csv,thrust.csv,miranda-icq.csv,dataobjectsdotnet.csv
dataobjectsdotnet.csv,0.14,0.0,0.37,0.01
miranda-icq.csv,0.31,0.13,0.01,0.26
red5.csv,0.0,0.49,0.52,0.55
thrust.csv,0.24,0.02,0.41,0.23
