,sqlpower-library.csv,smartgwt.csv,bzbyte.csv,mediaportal.csv,poormans.csv
bzbyte.csv,0.71,0.55,1.0,0.32,0.34
mediaportal.csv,0.72,0.25,0.49,0.93,0.26
poormans.csv,0.68,0.43,0.54,0.38,0.96
smartgwt.csv,0.71,0.98,0.21,0.36,0.33
sqlpower-library.csv,0.99,0.4,0.72,0.38,0.33
