,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv,arm-webradio.csv
alleg.csv,0.63,0.17,0.24,0.15,0.56,0.34,0.34,0.17,0.45,0.11,0.14,0.89,1.0,0.08,0.59,0.8,0.09,0.56
arm-webradio.csv,0.82,0.54,0.47,0.17,0.71,0.56,0.44,0.43,0.5,0.31,0.22,0.88,0.6,0.07,0.68,0.7,0.11,1.0
bwapi.csv,0.85,0.15,0.16,0.11,0.64,0.42,0.35,0.1,0.68,0.16,0.25,0.89,0.68,0.11,0.71,1.0,0.07,0.44
co-ode-owl-plugins.csv,0.83,0.19,0.07,0.1,0.78,0.41,0.0,0.95,0.34,0.15,0.0,0.85,0.6,0.16,0.6,0.53,0.0,0.53
firebreath.csv,0.55,0.19,0.21,0.18,0.65,1.0,0.33,0.12,0.46,0.12,0.2,0.83,0.63,0.06,0.71,0.86,0.17,0.22
frogatto.csv,0.75,0.06,0.21,0.18,0.74,0.55,0.38,0.14,0.42,0.2,0.16,0.93,0.72,0.17,1.0,0.54,0.15,0.38
gretl.csv,0.62,0.14,0.15,0.1,0.59,0.39,0.35,0.21,0.38,0.12,0.21,0.99,0.59,0.13,0.57,0.8,0.03,0.48
jasperreports.csv,0.5,0.0,0.67,1.0,0.82,0.0,0.0,0.25,0.0,0.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
konversation.csv,1.0,0.2,1.0,0.25,0.75,0.22,0.0,0.0,0.67,0.0,0.15,0.73,0.54,0.11,0.67,1.0,0.15,0.65
linuxsh.csv,0.79,1.0,0.35,0.31,0.75,0.7,0.0,0.1,0.55,0.2,0.33,0.93,0.43,0.12,0.88,0.72,0.0,1.0
moviesandbox.csv,0.79,0.27,0.28,0.13,1.0,0.43,0.1,0.17,0.51,0.15,0.17,0.81,0.57,0.11,0.45,0.84,0.03,0.4
ontomorphtab.csv,1.0,0.13,0.17,0.15,0.65,0.5,0.35,0.18,0.52,0.13,0.21,0.9,0.63,0.08,0.68,0.8,0.14,0.42
opengs.csv,0.7,0.25,0.11,0.23,0.9,0.75,0.5,0.13,1.0,0.16,0.09,0.92,0.62,0.12,0.75,1.0,0.22,0.52
scite-ru.csv,0.65,0.14,0.14,0.13,0.57,0.43,1.0,0.22,0.41,0.12,0.13,1.0,0.66,0.06,0.59,0.89,0.14,0.32
tokratan.csv,1.0,0.0,0.36,0.23,0.86,0.65,0.67,0.0,0.57,1.0,0.5,0.88,0.26,0.06,1.0,0.89,0.29,0.0
vrjuggler.csv,0.59,0.0,0.28,0.13,0.6,0.36,0.1,0.16,0.57,0.19,1.0,1.0,0.0,0.02,0.52,1.0,0.06,0.0
wxcode.csv,0.67,0.0,0.71,0.5,0.75,1.0,0.33,0.0,0.0,0.25,0.0,0.95,0.9,0.16,1.0,0.67,1.0,0.0
xuggle.csv,0.56,0.27,0.4,1.0,0.56,0.34,0.4,0.2,0.46,0.1,0.18,0.95,0.6,0.03,0.71,0.8,0.27,0.12
