,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.64,0.94,0.97,1.02,0.16,0.41,0.59,0.83,0.74,0.58
chaperon.csv,0.74,0.79,0.77,0.1,1.0,0.65,0.78,0.88,0.52,0.63
geotools.csv,0.65,0.55,0.85,0.95,1.0,0.6,0.48,0.72,0.73,0.71
l2j.csv,0.65,0.65,0.74,0.54,0.82,0.48,0.75,0.97,0.53,0.62
mule.csv,0.51,0.9,0.81,0.54,0.36,0.49,0.67,0.66,0.75,0.44
nunit.csv,0.68,0.44,0.92,0.55,0.73,0.79,0.73,0.71,0.7,0.45
primefaces.csv,0.91,0.78,1.0,0.63,0.84,1.0,0.67,0.28,0.6,0.74
springside.csv,0.69,0.36,0.77,0.73,0.45,0.49,0.67,0.8,0.63,0.51
swtfox.csv,0.93,0.93,0.45,0.88,1.01,0.89,0.85,0.93,0.81,0.85
twostep.csv,0.82,0.55,0.81,0.58,0.36,0.26,0.67,0.69,0.61,0.56
