,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.84,0.38,0.64,0.94,0.76,0.33,1.0,0.37,0.59,0.47,0.56,0.67,0.5,0.46
flylinkdc.csv,0.7,0.83,0.71,0.82,0.41,0.72,0.92,0.97,0.5,0.68,0.22,0.58,0.62,0.79
grisbi.csv,0.92,0.71,0.86,0.71,0.78,0.98,1.0,0.92,0.83,0.99,0.89,0.88,0.96,0.98
jaolt.csv,0.46,0.6,0.71,0.41,0.37,0.7,0.83,0.87,0.61,0.66,0.11,0.31,0.29,0.77
maidsafe-dht.csv,0.3,0.44,0.71,0.59,0.8,0.86,0.5,0.74,0.74,0.71,0.44,0.36,0.12,0.88
mimosa.csv,0.65,0.9,0.86,1.0,0.59,0.93,0.92,0.79,0.44,0.67,1.0,0.81,0.67,0.46
n2cms.csv,0.84,0.77,0.64,0.47,0.33,0.26,0.92,0.45,0.8,0.44,0.22,0.35,0.33,0.64
nassp.csv,0.32,0.21,0.29,0.29,0.24,0.12,0.67,0.13,0.21,0.16,0.0,0.23,0.46,0.16
nug.csv,0.35,0.69,0.07,0.82,0.01,0.47,0.58,0.13,0.03,0.38,0.22,0.23,0.21,0.41
quantlib.csv,1.0,0.12,0.0,0.88,0.35,0.14,1.0,0.11,1.0,0.03,0.0,0.0,0.62,0.05
red5.csv,0.95,0.92,0.71,1.0,0.8,0.67,1.0,0.97,0.47,0.84,0.89,0.85,0.83,0.77
super-tux.csv,0.84,0.35,0.93,0.76,0.89,0.53,0.75,0.34,0.65,0.62,1.0,0.91,0.92,0.75
tcvp.csv,0.03,0.06,0.07,0.06,0.12,0.05,0.0,0.0,0.0,0.01,0.67,0.0,0.0,0.04
zxing.csv,0.62,0.54,0.71,0.41,0.41,0.26,0.83,0.74,0.53,0.62,0.11,0.34,0.29,0.75
