,campsoft.csv,sevenupdate.csv,extprosys.csv,opennms.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,freewrl.csv,roller.csv,aten.csv,xfce.csv,papertoolkit.csv,glas.csv,ibatisdb.csv,soar.csv,primefaces.csv,xcf.csv,web-cat.csv
encog-cs.csv,0.03,0.82,0.37,0.41,0.82,0.9,0.63,0.21,0.05,0.7,0.48,0.83,0.57,0.08,0.59,0.38,0.68,0.75,0.62,0.5
extprosys.csv,0.03,0.83,0.48,0.42,0.54,0.82,0.5,0.32,0.09,0.69,0.74,0.66,0.82,0.07,0.49,0.47,0.67,0.42,0.58,0.36
freewrl.csv,0.02,0.61,0.51,0.31,0.87,0.67,0.51,0.37,0.08,0.76,0.68,0.62,0.71,0.19,0.55,0.55,0.4,0.69,0.68,0.42
glas.csv,0.04,0.67,0.36,0.44,0.62,0.53,0.48,0.48,0.14,0.4,0.58,0.76,0.76,0.0,0.59,0.54,0.52,0.46,0.59,0.54
ibatisdb.csv,0.0,0.45,0.3,0.37,0.3,0.39,0.43,0.31,0.13,0.14,0.1,0.32,0.5,0.11,0.47,0.7,0.0,0.3,0.43,0.46
japano.csv,0.0,0.91,0.46,0.42,0.85,0.87,0.5,0.28,0.05,0.69,0.49,0.79,0.64,0.1,0.51,0.36,0.46,0.73,0.61,0.54
lockss.csv,0.05,0.52,0.37,0.31,0.53,0.55,0.36,0.44,0.12,0.0,0.63,0.23,0.72,0.12,0.1,0.3,0.06,0.22,0.57,0.22
officefloor.csv,0.03,0.37,0.27,0.2,0.05,0.71,0.46,0.19,0.11,0.0,0.71,0.72,0.67,0.0,0.25,0.55,0.49,0.24,0.51,0.5
opennms.csv,0.04,0.67,0.16,0.57,0.72,0.2,0.4,0.36,0.09,0.35,0.26,0.23,0.71,0.06,0.14,0.24,0.0,0.21,0.29,0.0
papertoolkit.csv,0.0,0.39,0.24,0.29,0.29,0.3,0.37,0.21,0.04,0.37,0.44,0.31,0.08,0.33,0.19,0.18,0.42,0.28,0.48,0.07
primefaces.csv,0.03,0.92,0.44,0.37,0.78,0.79,0.52,0.33,0.05,0.0,0.68,1.0,0.82,0.1,0.57,0.49,0.22,0.79,0.6,0.55
rohxel.csv,0.03,0.75,0.46,0.33,0.8,0.71,0.47,0.43,0.08,0.58,0.69,0.74,0.62,0.07,0.45,0.45,0.37,0.59,0.36,0.1
roller.csv,0.02,0.93,0.44,0.38,0.73,0.76,0.49,0.32,0.07,0.68,0.8,0.96,0.82,0.11,0.56,0.49,0.3,0.63,0.53,0.23
sevenupdate.csv,0.02,0.85,0.44,0.34,0.86,0.97,0.51,0.27,0.05,0.69,0.75,0.96,0.74,0.11,0.57,0.41,0.71,0.74,0.69,0.55
soar.csv,0.03,0.55,0.44,0.34,0.77,0.89,0.4,0.37,0.05,0.38,0.62,0.98,0.82,0.11,0.54,0.45,0.68,0.67,0.6,0.51
web-cat.csv,0.0,0.64,0.43,0.36,0.79,0.71,0.49,0.29,0.05,0.69,0.69,0.91,0.38,0.12,0.59,0.46,0.7,0.5,0.68,0.73
xcf.csv,0.0,0.56,0.42,0.39,0.76,0.7,0.54,0.29,0.07,0.66,0.76,0.77,0.61,0.15,0.65,0.5,0.65,0.25,0.76,0.58
xfce.csv,0.0,0.83,0.52,0.47,0.67,0.7,0.5,0.3,0.05,0.59,0.78,0.78,0.7,0.14,0.44,0.24,0.32,0.66,0.64,0.48
