,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,mevenide.csv
alembik.csv,0.74,0.81,0.85,0.0,0.8,0.73
arsenal-1.csv,0.81,0.91,0.12,0.91,1.0,0.97
barracudamvc.csv,0.05,0.74,0.94,0.91,0.88,0.97
mevenide.csv,0.84,0.62,0.77,0.7,0.73,0.14
mumble.csv,0.86,0.92,0.93,0.73,0.02,0.93
openintents.csv,0.87,0.04,0.9,0.5,0.86,0.78
