,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,0.53,0.72,0.63,0.5,0.42,0.63,0.42,0.47,0.38,0.86,0.53,0.51,0.76,0.46
crisscross.csv,0.49,0.42,0.48,0.46,0.38,0.49,0.36,0.43,0.36,0.52,0.82,0.34,0.49,0.34
gisgraphy.csv,0.82,0.0,0.9,0.86,0.91,0.67,0.88,0.9,0.75,0.86,0.92,0.56,0.96,0.65
glelite.csv,0.49,0.58,0.43,0.41,0.38,0.42,0.34,0.39,0.33,0.52,0.51,0.45,0.47,0.31
gnome-jabber.csv,0.59,0.47,0.66,0.47,0.36,0.49,0.36,0.45,0.43,0.46,0.53,0.48,0.53,0.45
ivataopenportal.csv,0.46,0.42,0.47,0.42,0.35,0.53,0.47,0.39,0.35,0.51,0.49,0.34,0.41,0.32
mb-unit.csv,0.49,0.89,0.68,0.46,0.38,0.42,0.37,0.38,0.31,0.52,0.51,0.44,0.47,0.33
mvdsv.csv,0.9,0.73,0.0,0.98,0.89,0.5,0.67,0.88,0.86,0.75,0.89,0.83,0.94,0.86
nova.csv,0.79,0.59,0.82,0.6,0.61,0.97,0.43,0.6,0.63,0.54,0.79,0.48,0.72,0.52
olex2.csv,0.51,0.54,0.62,0.5,0.33,0.43,0.58,0.59,0.39,0.43,0.51,0.45,0.79,0.41
openwbem.csv,0.46,0.8,0.67,0.61,0.44,0.54,0.42,0.57,0.52,0.39,0.53,0.46,0.94,0.43
tencompetence.csv,0.99,0.83,0.8,0.65,0.94,0.53,0.59,0.94,0.58,0.97,0.78,0.86,0.67,0.67
xcmetadataservicestoolkit.csv,0.93,0.9,0.51,0.66,0.37,0.48,0.48,0.59,0.39,0.52,0.56,0.53,0.61,0.34
