,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,rcp-company-uibindings.csv,thedata.csv
adonthell.csv,0.0,0.08,0.19,0.06,0.0,0.07,0.05,0.31,0.06,0.23,0.02,0.11,0.4,0.32,0.06,0.04,0.14,0.0,0.26
autofac.csv,0.0,0.78,0.5,0.03,0.46,0.46,0.56,0.63,0.25,0.66,0.45,0.6,0.28,0.68,0.65,0.4,0.65,0.5,0.55
avisynth2.csv,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
azureus.csv,0.0,0.35,0.12,0.39,0.04,0.14,0.1,0.17,0.28,0.23,0.29,0.01,0.2,0.03,0.04,0.38,0.37,0.0,0.23
dsworkbench.csv,0.0,0.38,0.0,0.12,0.27,0.11,0.49,0.43,0.16,0.43,0.19,0.5,0.56,0.66,0.14,0.58,0.34,0.5,0.66
forester-atv.csv,0.0,0.02,0.25,0.27,0.06,0.14,0.02,0.1,0.12,0.09,0.02,0.12,0.0,0.06,0.0,0.02,0.16,0.0,0.02
freelords.csv,0.0,0.68,0.62,0.58,0.77,0.04,0.68,0.74,0.09,0.68,0.52,0.65,0.8,0.98,0.75,0.96,0.72,0.1,0.47
gabel.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.01,0.02,0.02,0.08,0.0,0.0,0.0,0.04,0.0,0.06
geotools.csv,0.0,0.25,0.25,0.36,0.23,0.39,0.07,0.27,0.16,0.18,0.24,0.26,0.16,0.31,0.06,0.04,0.0,0.0,0.29
google-collections.csv,0.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jpaul.csv,0.0,0.3,0.44,0.06,0.0,0.0,0.0,0.27,0.16,0.21,0.1,0.23,0.4,0.11,0.14,0.11,0.27,0.0,0.31
mycila.csv,0.5,0.12,0.06,0.09,0.04,0.14,0.1,0.07,0.38,0.0,0.02,0.08,0.08,0.03,0.25,0.11,0.06,0.0,0.08
neodatis-odb.csv,0.0,0.35,0.31,0.42,0.35,0.29,0.41,0.0,0.09,0.35,0.1,0.13,0.24,0.19,0.53,0.4,0.32,0.5,0.21
octet.csv,1.0,0.57,0.5,0.42,0.35,0.57,0.07,0.2,0.12,0.26,0.29,0.6,0.44,0.5,0.0,0.09,0.35,0.3,0.53
pokenetonline.csv,0.0,0.65,0.88,0.55,0.31,0.29,0.49,0.64,0.41,0.52,0.33,0.59,0.0,0.61,0.2,0.58,0.45,0.3,0.11
rcp-company-uibindings.csv,1.0,0.98,1.0,1.0,1.0,0.64,0.98,0.97,0.88,0.88,1.0,0.89,1.0,1.0,1.0,1.0,0.98,0.0,0.98
scenemonitor.csv,0.5,0.95,0.5,0.24,0.48,0.75,0.68,0.61,0.0,0.47,0.71,0.63,0.56,0.66,0.55,0.44,0.82,0.5,0.66
thedata.csv,0.0,0.1,0.19,0.39,0.46,0.32,0.37,0.39,0.47,0.33,0.12,0.2,0.16,0.11,0.31,0.27,0.21,0.5,0.0
twostep.csv,0.5,0.6,0.69,0.64,0.56,0.5,0.49,0.74,0.28,0.55,0.6,0.62,0.6,0.6,0.27,0.02,0.39,0.6,0.65
