,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.46,0.37,0.48,0.11,1.0,0.43,0.17,0.54,0.31,0.35,0.23,0.7,0.57,0.97,0.45
fmri-dmt.csv,0.38,0.44,0.57,0.21,0.0,0.71,1.0,0.15,0.08,0.41,0.47,0.43,0.33,1.0,0.91
ftm.csv,0.62,0.89,0.24,0.79,1.0,0.43,0.17,0.19,0.92,0.06,0.23,0.6,0.69,0.23,0.64
fulguro.csv,0.41,0.0,0.19,0.15,1.0,0.21,1.0,0.81,0.0,0.53,0.8,0.0,0.25,0.34,0.64
gss.csv,0.95,0.74,0.67,0.89,1.0,0.71,0.83,0.73,1.0,0.88,0.73,0.85,0.8,0.69,0.64
illumination.csv,0.0,0.0,0.0,0.0,1.0,0.86,0.83,0.69,0.0,0.82,0.93,0.0,0.0,1.0,0.0
ldview.csv,0.15,0.78,0.81,1.0,0.0,1.0,0.67,0.27,0.62,0.88,0.57,0.07,0.15,0.71,0.91
monetdb.csv,0.49,0.48,0.67,0.66,1.0,0.36,0.17,0.31,0.62,0.53,0.3,0.47,0.52,0.37,0.09
netatalk.csv,0.67,0.48,0.57,0.66,0.0,0.79,0.67,0.65,1.0,0.71,0.87,0.47,0.89,0.26,1.0
olex2.csv,0.77,0.89,0.0,0.3,1.0,0.36,0.83,0.35,0.31,0.06,0.3,0.72,0.7,0.51,0.09
qpe.csv,0.67,0.85,0.29,0.68,0.0,0.79,0.67,0.23,1.0,0.47,0.8,0.2,0.25,0.03,0.55
quark.csv,0.13,0.04,0.19,0.28,0.0,0.0,0.0,0.0,0.85,0.0,0.07,0.03,0.43,0.03,0.09
sepgsql.csv,0.69,0.85,0.67,0.72,1.0,0.71,0.17,0.46,0.85,0.18,0.7,0.65,0.77,0.6,0.73
synergyspace.csv,0.41,0.52,0.0,0.19,1.0,0.29,1.0,0.73,0.31,0.24,0.5,0.15,0.1,0.09,0.27
