,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.14,0.04,0.36,0.26,0.02,0.24,0.05,0.16,0.2,0.17,0.41,0.45,0.51,0.67,0.09
fmri-dmt.csv,0.05,0.03,0.32,0.2,0.0,0.22,0.38,0.15,0.05,0.15,0.45,0.36,0.33,0.28,0.14
ftm.csv,0.19,0.06,0.62,0.51,0.03,0.6,0.17,0.29,0.36,0.1,0.88,0.64,0.6,0.21,0.14
fulguro.csv,0.07,0.0,0.67,0.39,0.01,0.14,0.1,0.27,0.0,0.22,0.63,0.0,0.44,0.17,0.22
gss.csv,0.1,0.06,0.37,0.39,0.01,0.34,0.08,0.22,0.2,0.29,0.88,0.47,0.48,0.31,0.16
illumination.csv,0.0,0.0,0.0,0.0,0.01,0.24,0.09,0.25,0.0,0.64,0.67,0.0,0.0,0.27,0.0
ldview.csv,0.1,0.05,0.57,0.32,0.0,0.28,0.15,0.18,0.21,0.21,0.59,0.4,0.75,0.22,0.14
monetdb.csv,0.13,0.07,0.47,0.56,0.12,0.36,0.1,0.28,0.36,0.26,0.82,0.44,0.45,0.57,0.05
netatalk.csv,0.13,0.07,0.44,0.34,0.0,0.48,0.08,0.18,0.24,0.22,0.59,0.65,0.47,0.13,0.14
olex2.csv,0.15,0.05,0.0,0.56,0.01,0.45,0.16,0.16,0.14,0.14,0.9,0.69,0.6,0.26,0.14
qpe.csv,0.17,0.05,0.6,0.41,0.0,0.37,0.13,0.35,0.32,0.24,0.75,0.71,0.75,0.01,0.11
quark.csv,0.5,1.0,0.5,0.68,0.0,0.0,0.0,0.0,0.46,0.0,1.0,0.67,0.81,1.0,0.25
sepgsql.csv,0.15,0.11,0.5,0.46,0.04,0.43,0.06,0.27,0.35,0.09,0.68,0.48,0.53,0.32,0.1
synergyspace.csv,0.1,0.07,0.0,0.35,0.01,0.24,0.12,0.38,0.22,0.14,0.75,0.39,0.46,0.13,0.16
