,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.48,0.42,0.36,0.22,1.0,0.32,0.57,0.27,0.51,0.39,0.44,0.28,0.43
codepurge.csv,0.18,0.47,0.1,0.29,0.09,0.33,0.62,0.33,0.73,0.41,0.93,0.27,0.3
crisscross.csv,0.18,1.0,0.21,0.2,0.05,0.17,0.0,0.24,0.34,0.41,0.25,0.21,0.18
elvishrayrenderer.csv,0.58,0.42,0.64,0.36,0.58,0.54,0.0,0.55,0.42,0.52,0.49,0.55,1.0
gwanted.csv,0.0,0.0,0.22,0.1,0.05,0.06,0.37,0.46,0.37,0.91,0.0,0.02,0.04
jitterbit.csv,0.43,0.44,0.25,0.56,0.05,0.58,0.89,0.94,0.59,0.59,0.56,0.52,0.59
ldview.csv,0.18,0.27,0.51,0.46,0.26,0.96,0.71,0.52,0.47,0.47,0.36,0.26,0.66
libopenmetaverse.csv,0.18,0.69,0.59,0.91,0.4,0.47,0.7,0.65,0.65,0.76,0.58,0.63,0.49
mb-unit.csv,0.36,0.68,0.99,0.54,0.37,0.33,0.78,0.46,0.73,0.43,0.66,0.63,0.61
mvdsv.csv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.04
nova.csv,0.93,0.54,0.46,0.37,0.34,0.36,0.0,0.53,0.68,0.56,0.47,0.46,0.5
olex2.csv,0.27,0.65,0.37,0.43,0.16,0.42,0.0,0.49,0.41,0.33,0.29,0.94,0.58
tolven.csv,0.18,0.28,0.26,0.23,0.09,0.06,0.7,0.22,0.98,0.29,0.14,0.29,0.33
