,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.66,0.91,0.73,0.85,0.02,0.82,0.73,0.85,0.63,0.76,0.74,0.83,0.74
codepurge.csv,0.85,0.6,0.92,0.79,0.95,0.76,0.62,0.72,0.37,0.65,0.08,0.79,0.77
crisscross.csv,0.87,0.0,0.83,0.86,0.97,0.86,1.0,0.82,0.72,0.66,0.8,0.82,0.92
elvishrayrenderer.csv,0.67,0.84,0.67,0.9,0.68,0.78,1.0,0.77,0.87,0.81,0.83,0.77,0.0
gwanted.csv,1.0,1.0,0.85,0.92,0.96,0.95,0.71,0.6,0.69,0.11,1.0,0.98,0.97
jitterbit.csv,0.85,0.78,0.79,0.64,0.96,0.74,0.37,0.07,0.53,0.52,0.59,0.57,0.63
ldview.csv,0.88,0.87,0.74,0.66,0.78,0.05,0.34,0.58,0.63,0.62,0.78,0.82,0.51
libopenmetaverse.csv,0.91,0.48,0.67,0.11,0.73,0.62,0.36,0.53,0.48,0.41,0.59,0.56,0.75
mb-unit.csv,0.69,0.67,0.06,0.68,0.89,0.76,0.59,0.78,0.5,0.8,0.56,0.6,0.64
mvdsv.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.99,1.0,1.0,1.0,1.0,0.97
nova.csv,0.08,0.7,0.72,0.71,0.83,0.78,1.04,0.64,0.47,0.59,0.74,0.65,0.71
olex2.csv,0.77,0.53,0.72,0.67,0.9,0.66,1.02,0.61,0.74,0.8,0.76,0.07,0.61
tolven.csv,0.85,0.78,0.8,0.82,0.94,0.95,0.37,0.82,0.03,0.77,0.9,0.75,0.73
