,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv
chipster.csv,0.0,0.45,0.5,0.08,0.8,0.56,0.08,0.0,0.0,0.58,0.43,0.07,0.67,0.0,0.17,0.18,0.0
fontforge.csv,0.58,0.48,0.59,0.53,0.82,0.58,0.04,0.72,0.23,0.66,0.74,0.16,0.72,0.55,0.15,0.22,0.47
glas.csv,0.55,0.5,0.58,0.36,0.58,0.56,0.06,0.61,0.26,0.31,0.8,0.16,0.73,0.61,0.24,0.22,0.51
gmerlin.csv,0.0,0.44,0.59,0.52,0.0,0.58,0.04,0.0,0.26,0.0,0.89,0.18,0.83,0.58,0.15,0.0,0.56
hannosset.csv,0.54,0.17,0.44,0.07,0.73,0.31,0.0,0.35,0.22,0.19,0.21,0.1,0.3,0.05,0.35,0.09,0.39
hatari.csv,0.53,0.51,0.63,0.51,0.82,0.58,0.04,0.56,0.25,0.64,0.78,0.18,0.79,0.55,0.18,0.22,0.42
jaolt.csv,0.62,0.5,0.58,0.45,0.39,0.54,0.09,0.54,0.3,0.17,0.89,0.16,0.76,0.36,0.17,0.15,0.48
jcl.csv,0.64,0.49,0.62,0.42,0.84,0.55,0.07,0.5,0.23,0.39,0.73,0.2,0.62,0.25,0.23,0.4,0.33
ltp.csv,0.34,0.44,0.58,0.55,0.77,0.53,0.0,0.47,0.21,0.54,0.79,0.24,0.66,0.41,0.14,0.22,0.33
mia.csv,0.48,0.06,0.52,0.43,0.03,0.25,0.11,0.64,0.18,0.61,0.53,0.35,0.13,0.1,0.0,0.14,0.34
net-snmp.csv,0.64,0.51,0.49,0.42,0.72,0.5,0.09,0.61,0.26,0.47,0.81,0.23,0.57,0.54,0.12,0.13,0.37
opde.csv,0.62,0.42,0.62,0.59,0.83,0.5,0.1,0.65,0.25,0.0,0.7,0.17,0.69,0.58,0.11,0.17,0.37
oppna-program-hsatools.csv,0.62,0.57,0.62,0.53,0.83,0.53,0.04,0.59,0.24,0.65,0.91,0.17,0.69,0.32,0.26,0.25,0.45
powerfolder-.csv,0.48,0.53,0.26,0.36,0.36,0.32,0.17,0.14,0.32,0.39,0.56,0.15,0.5,0.1,0.13,0.23,0.31
qlc.csv,0.0,0.51,0.0,0.47,0.79,0.56,0.11,0.0,0.37,0.49,0.36,0.17,0.48,0.38,0.12,0.31,0.0
tcl.csv,0.43,0.43,0.51,0.47,0.69,0.48,0.0,0.0,0.24,0.71,0.76,0.11,0.82,0.55,0.14,0.0,0.24
