,freedom-erp.csv,twostep.csv,iaml.csv,etics.csv,neoengine.csv,nsis.csv,vdsf.csv,monetdb.csv,amygdala.csv,ikvm.csv,jicarilla.csv,metacosm.csv,mplayer-ce.csv,moviesandbox.csv,uwom.csv,geotools.csv,jrdf.csv,ng4j.csv,bloodycore.csv,jahshakafx.csv,jstock.csv,nassp.csv,soar.csv,xbplayer.csv,scite-ru.csv,mobicents.csv,jcache.csv,flylegacy.csv,mcmc-jags.csv,mcore3d.csv,gdis.csv,gtad.csv,liferea.csv,nova.csv,fleet-simulator.csv,japano.csv,qmcpack.csv,gnukeda.csv,powerfolder-.csv,jparsec.csv,m-m-m.csv,adonthell.csv,k3d.csv,fmri-dmt.csv,amanda.csv,jaql.csv,bzbyte.csv
adonthell.csv,166.0,1.0,244.0,0.0,297.0,92.0,1261.0,145.0,0.0,51.0,21.0,2.0,627.0,0.0,828.0,298.0,20.0,10.0,459.0,338.0,15.0,57.0,55.0,132.0,72.0,508.0,3.0,84.0,2.0,177.0,69.0,72.0,6.0,21.0,0.0,6.0,65.0,70.0,104.0,0.0,0.0,,205.0,0.0,111.0,240.0,0.0
amanda.csv,13.0,1.0,0.0,0.0,2.0,3.0,0.0,16.0,0.0,0.0,21.0,2.0,627.0,0.0,828.0,1.0,20.0,10.0,459.0,50.0,15.0,7.0,0.0,5.0,45.0,77.0,3.0,1.0,2.0,3.0,1.0,6.0,6.0,21.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0
amygdala.csv,7.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,,0.0,38.0,57.0,2.0,0.0,89.0,1.0,20.0,10.0,10.0,44.0,15.0,7.0,0.0,5.0,38.0,0.0,58.0,0.0,2.0,3.0,0.0,6.0,6.0,46.0,0.0,6.0,5.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0
bloodycore.csv,166.0,70.0,244.0,54.0,297.0,92.0,1261.0,145.0,72.0,51.0,69.0,57.0,627.0,78.0,828.0,298.0,73.0,78.0,,338.0,55.0,57.0,55.0,132.0,72.0,508.0,74.0,84.0,56.0,177.0,69.0,72.0,56.0,56.0,61.0,133.0,65.0,70.0,104.0,113.0,60.0,107.0,205.0,67.0,111.0,240.0,74.0
bzbyte.csv,166.0,1.0,244.0,0.0,297.0,2.0,1261.0,145.0,0.0,51.0,21.0,2.0,627.0,0.0,828.0,298.0,20.0,10.0,459.0,338.0,15.0,57.0,55.0,132.0,72.0,508.0,3.0,84.0,2.0,177.0,69.0,25.0,6.0,21.0,0.0,7.0,5.0,34.0,1.0,0.0,0.0,0.0,205.0,0.0,111.0,5.0,
etics.csv,7.0,1.0,12.0,,2.0,2.0,0.0,1.0,17.0,0.0,39.0,6.0,2.0,4.0,89.0,2.0,20.0,14.0,10.0,44.0,15.0,7.0,0.0,5.0,38.0,0.0,3.0,0.0,19.0,3.0,10.0,6.0,56.0,56.0,14.0,6.0,10.0,0.0,1.0,0.0,2.0,20.0,0.0,0.0,4.0,3.0,0.0
fleet-simulator.csv,166.0,1.0,244.0,0.0,297.0,3.0,1261.0,145.0,0.0,51.0,21.0,2.0,627.0,0.0,828.0,298.0,20.0,10.0,459.0,338.0,15.0,57.0,55.0,132.0,72.0,508.0,3.0,84.0,2.0,177.0,69.0,72.0,6.0,21.0,,6.0,13.0,70.0,1.0,0.0,0.0,0.0,205.0,0.0,111.0,240.0,0.0
flylegacy.csv,7.0,1.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,38.0,5.0,2.0,0.0,89.0,1.0,58.0,10.0,10.0,44.0,19.0,7.0,0.0,5.0,38.0,0.0,40.0,,2.0,3.0,1.0,6.0,19.0,26.0,3.0,6.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0
fmri-dmt.csv,166.0,1.0,126.0,2.0,297.0,8.0,1261.0,145.0,0.0,51.0,21.0,2.0,627.0,0.0,828.0,298.0,20.0,10.0,459.0,338.0,15.0,57.0,55.0,56.0,72.0,508.0,3.0,84.0,2.0,177.0,69.0,72.0,19.0,21.0,0.0,7.0,24.0,26.0,18.0,4.0,0.0,3.0,205.0,,111.0,157.0,11.0
freedom-erp.csv,,1.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,2.0,21.0,2.0,627.0,0.0,828.0,1.0,20.0,10.0,459.0,44.0,15.0,7.0,0.0,5.0,38.0,13.0,3.0,0.0,2.0,3.0,0.0,6.0,6.0,21.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0
gdis.csv,7.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,37.0,2.0,2.0,0.0,89.0,1.0,20.0,10.0,10.0,58.0,19.0,7.0,0.0,5.0,38.0,1.0,3.0,0.0,2.0,3.0,,6.0,6.0,21.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0
geotools.csv,166.0,1.0,0.0,0.0,2.0,2.0,0.0,145.0,0.0,2.0,21.0,2.0,627.0,0.0,828.0,,20.0,10.0,459.0,127.0,15.0,57.0,1.0,5.0,72.0,508.0,3.0,84.0,2.0,4.0,0.0,6.0,6.0,21.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,205.0,0.0,111.0,3.0,0.0
gnukeda.csv,166.0,1.0,4.0,0.0,138.0,2.0,0.0,145.0,0.0,51.0,21.0,2.0,627.0,0.0,828.0,298.0,20.0,10.0,459.0,338.0,15.0,57.0,1.0,9.0,72.0,508.0,3.0,84.0,2.0,4.0,0.0,6.0,6.0,21.0,0.0,6.0,5.0,,1.0,0.0,0.0,0.0,205.0,0.0,111.0,3.0,0.0
gtad.csv,166.0,1.0,244.0,0.0,297.0,5.0,1261.0,145.0,0.0,51.0,21.0,2.0,627.0,0.0,828.0,298.0,20.0,10.0,459.0,338.0,19.0,57.0,55.0,132.0,72.0,508.0,3.0,84.0,2.0,177.0,69.0,,6.0,21.0,0.0,6.0,65.0,70.0,1.0,0.0,0.0,0.0,205.0,0.0,111.0,25.0,0.0
iaml.csv,7.0,65.0,,0.0,2.0,3.0,0.0,1.0,23.0,0.0,69.0,57.0,2.0,25.0,89.0,1.0,58.0,78.0,10.0,44.0,55.0,7.0,1.0,5.0,38.0,0.0,74.0,0.0,26.0,4.0,0.0,72.0,27.0,53.0,2.0,6.0,27.0,0.0,27.0,4.0,60.0,0.0,0.0,0.0,4.0,3.0,0.0
ikvm.csv,31.0,1.0,14.0,2.0,2.0,2.0,1.0,2.0,0.0,,21.0,2.0,627.0,3.0,828.0,1.0,20.0,10.0,459.0,44.0,15.0,7.0,24.0,5.0,65.0,42.0,4.0,3.0,10.0,3.0,1.0,72.0,6.0,21.0,5.0,6.0,5.0,1.0,0.0,0.0,0.0,3.0,20.0,0.0,4.0,3.0,3.0
