,freedom-erp.csv,twostep.csv,iaml.csv,etics.csv,neoengine.csv,nsis.csv,vdsf.csv,monetdb.csv,amygdala.csv,ikvm.csv,jicarilla.csv,metacosm.csv,mplayer-ce.csv,moviesandbox.csv,uwom.csv,geotools.csv,jrdf.csv,ng4j.csv,bloodycore.csv,jahshakafx.csv,jstock.csv,nassp.csv,soar.csv,xbplayer.csv,scite-ru.csv,mobicents.csv,jcache.csv,flylegacy.csv,mcmc-jags.csv,mcore3d.csv,gdis.csv,gtad.csv,liferea.csv,nova.csv,fleet-simulator.csv,japano.csv,qmcpack.csv,gnukeda.csv,powerfolder-.csv,jparsec.csv,m-m-m.csv,adonthell.csv,k3d.csv,fmri-dmt.csv,amanda.csv,jaql.csv,bzbyte.csv
adonthell.csv,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.81,0.34,0.0,0.0,0.0,0.0,0.0,,0.0,0.2,0.0,0.0,0.5
amanda.csv,0.09,0.0,0.43,0.36,0.7,0.58,0.0,0.16,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.09,0.0,0.55,0.0,0.71,0.39,0.54,0.17,0.09,0.0,0.56,0.0,0.6,0.68,0.13,0.21,0.0,0.0,0.37,0.33,0.59,0.54,0.0,0.0,0.09,0.57,0.36,,0.36,0.38
amygdala.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.09,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0
bloodycore.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bzbyte.csv,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.39,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.49,0.49,0.1,0.59,0.0,0.0,0.0,0.0,0.59,0.0,0.2,
etics.csv,0.0,0.27,0.4,,0.61,0.32,0.2,0.0,0.3,0.0,0.14,0.3,0.0,0.46,0.0,0.55,0.37,0.34,0.0,0.6,0.66,0.42,0.39,0.7,0.0,0.0,0.48,0.21,0.23,0.6,0.29,0.52,0.0,0.0,0.13,0.52,0.36,0.35,0.48,0.39,0.21,0.06,0.0,0.35,0.3,0.62,0.55
fleet-simulator.csv,0.0,0.38,0.0,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.54,0.3,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.7,0.0,,0.52,0.43,0.0,0.59,0.0,0.0,0.47,0.0,0.75,0.0,0.0,0.44
flylegacy.csv,0.0,0.35,0.62,0.18,0.71,0.4,0.24,0.24,0.54,0.13,0.6,0.51,0.0,0.73,0.0,0.4,0.3,0.63,0.0,0.05,0.55,0.17,0.0,0.66,0.17,0.05,0.37,,0.64,0.66,0.57,0.8,0.35,0.58,0.34,0.49,0.65,0.62,0.53,0.44,0.47,0.42,0.53,0.49,0.36,0.44,0.58
fmri-dmt.csv,0.0,0.41,0.05,0.53,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.5,0.35,0.0,0.0,0.38,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.48,0.0,0.0,0.36,0.22,0.1,0.12,0.13,0.0,0.62,0.0,,0.0,0.01,0.06
freedom-erp.csv,,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.11,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.05,0.0
