,fontforge.csv,jfreereport.csv,freelords.csv,super-tux.csv
fontforge.csv,0.97,0.34,0.12,0.14
freelords.csv,0.35,0.43,0.97,0.76
jfreereport.csv,0.05,0.89,0.3,0.31
super-tux.csv,0.0,0.57,0.65,0.88
