,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv
avifile.csv,0.0,3.0,0.0,101.0,0.0,1.0,3.0,0.0,23.0,1.0,6.0,25.0,2.0,0.0,25.0,8.0,0.0,1.0,4.0,3.0
baadengine.csv,0.0,2.0,0.0,62.0,0.0,0.0,11.0,1.0,0.0,4.0,12.0,23.0,2.0,0.0,4.0,7.0,0.0,5.0,4.0,3.0
bibedt.csv,0.0,69.0,0.0,30.0,0.0,0.0,0.0,5.0,6.0,0.0,7.0,9.0,0.0,0.0,4.0,10.0,0.0,2.0,2.0,0.0
cascading.csv,0.0,1.0,0.0,33.0,0.0,1.0,2.0,0.0,0.0,1.0,7.0,20.0,0.0,0.0,19.0,6.0,0.0,0.0,1.0,0.0
dataobjectsdotnet.csv,1.0,3.0,0.0,26.0,0.0,2.0,7.0,0.0,3.0,8.0,6.0,49.0,4.0,1.0,57.0,7.0,0.0,0.0,2.0,96.0
gnome-jabber.csv,0.0,69.0,0.0,101.0,2.0,0.0,1.0,0.0,1.0,10.0,15.0,16.0,3.0,0.0,7.0,1.0,0.0,2.0,1.0,0.0
gogoego.csv,0.0,69.0,0.0,11.0,0.0,1.0,7.0,2.0,0.0,6.0,19.0,49.0,3.0,1.0,10.0,7.0,2.0,1.0,2.0,0.0
httpcontentparser.csv,0.0,15.0,0.0,101.0,0.0,3.0,0.0,4.0,0.0,1.0,3.0,22.0,0.0,4.0,61.0,0.0,0.0,5.0,0.0,0.0
impala.csv,1.0,2.0,0.0,32.0,4.0,0.0,14.0,10.0,0.0,2.0,6.0,49.0,2.0,0.0,9.0,4.0,0.0,0.0,4.0,3.0
jaxlib.csv,0.0,1.0,0.0,101.0,1.0,2.0,0.0,4.0,0.0,8.0,3.0,2.0,0.0,3.0,6.0,7.0,0.0,3.0,1.0,0.0
jgameai.csv,0.0,1.0,0.0,101.0,0.0,2.0,8.0,0.0,7.0,1.0,44.0,10.0,2.0,0.0,205.0,11.0,0.0,0.0,0.0,3.0
jhotdraw.csv,0.0,3.0,0.0,42.0,4.0,0.0,97.0,2.0,2.0,7.0,14.0,24.0,6.0,0.0,17.0,7.0,0.0,0.0,1.0,3.0
loki-lib.csv,0.0,3.0,0.0,69.0,0.0,3.0,11.0,1.0,3.0,8.0,4.0,19.0,4.0,1.0,8.0,13.0,0.0,2.0,1.0,3.0
patterntesting.csv,1.0,2.0,0.0,80.0,3.0,0.0,9.0,5.0,0.0,1.0,6.0,25.0,2.0,0.0,72.0,15.0,0.0,0.0,2.0,0.0
pokeglobal.csv,1.0,1.0,0.0,8.0,1.0,5.0,11.0,7.0,0.0,8.0,8.0,49.0,0.0,4.0,67.0,7.0,0.0,2.0,1.0,0.0
snakeyaml.csv,0.0,69.0,0.0,24.0,5.0,11.0,2.0,3.0,2.0,0.0,1.0,11.0,4.0,1.0,0.0,13.0,0.0,2.0,2.0,0.0
unflobtactical.csv,0.0,0.0,0.0,58.0,2.0,0.0,0.0,5.0,0.0,7.0,10.0,10.0,0.0,0.0,27.0,6.0,0.0,2.0,2.0,3.0
werx.csv,1.0,3.0,0.0,83.0,4.0,0.0,11.0,5.0,0.0,8.0,6.0,24.0,2.0,0.0,70.0,7.0,0.0,0.0,4.0,3.0
zealos.csv,0.0,0.0,0.0,101.0,0.0,1.0,5.0,0.0,1.0,1.0,3.0,49.0,1.0,0.0,1.0,207.0,0.0,0.0,1.0,0.0
