,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv
avifile.csv,0.11,0.96,0.04,0.0,0.15,0.49,0.09,0.45,0.41,0.51,0.21,0.09,0.42,0.35,0.69,0.28,0.31,0.51,0.09,0.43
baadengine.csv,0.75,0.35,0.26,0.59,0.61,0.38,0.0,0.42,0.0,0.73,0.58,0.17,0.27,0.45,0.8,0.09,0.72,0.53,0.0,0.0
bibedt.csv,0.18,0.0,0.0,0.87,0.45,0.58,0.67,0.44,0.61,0.35,0.68,0.88,0.64,0.61,0.42,0.32,0.34,0.4,0.51,0.33
cascading.csv,0.66,0.42,0.0,0.85,0.72,0.69,0.69,0.61,0.71,0.52,0.66,0.43,0.53,0.67,0.66,0.42,0.76,0.5,0.35,0.09
dataobjectsdotnet.csv,0.45,0.29,0.0,0.89,0.43,0.27,0.61,0.58,0.27,0.24,0.67,0.0,0.6,0.36,0.58,0.47,0.48,0.61,0.64,0.0
gnome-jabber.csv,0.36,0.0,0.16,0.0,0.33,0.15,0.16,0.34,0.31,0.55,0.29,0.62,0.34,0.44,0.48,0.39,0.25,0.25,0.58,0.69
gogoego.csv,0.19,0.0,0.0,0.95,0.52,0.3,0.76,0.55,0.43,0.68,0.44,0.0,0.59,0.34,0.67,0.3,0.32,0.41,0.17,0.53
httpcontentparser.csv,0.3,0.23,0.36,0.0,0.47,0.05,0.09,0.53,0.51,0.16,0.76,0.45,0.53,0.52,0.55,0.5,0.48,0.38,0.35,0.02
impala.csv,0.07,0.62,0.29,0.86,0.5,0.54,0.42,0.51,0.5,0.3,0.21,0.0,0.71,0.39,0.23,0.59,0.38,0.48,0.59,0.47
jaxlib.csv,0.33,0.23,0.26,0.0,0.57,0.57,0.52,0.61,0.21,0.55,0.64,0.99,0.54,0.65,0.18,0.31,0.52,0.31,0.42,0.06
jgameai.csv,0.05,0.8,0.01,0.0,0.12,0.56,0.25,0.1,0.07,0.09,0.06,0.52,0.42,0.26,0.0,0.1,0.02,0.02,0.04,0.48
jhotdraw.csv,0.51,0.66,0.55,0.86,0.34,0.59,0.0,0.45,0.64,0.41,0.33,0.44,0.23,0.2,0.57,0.27,0.64,0.41,0.12,0.32
loki-lib.csv,0.35,0.5,0.0,0.45,0.63,0.5,0.24,0.64,0.57,0.66,0.7,0.4,0.61,0.57,0.45,0.56,0.54,0.56,0.64,0.0
patterntesting.csv,0.0,0.13,0.0,0.17,0.27,0.24,0.4,0.17,0.46,0.69,0.09,0.0,0.43,0.53,0.0,0.45,0.24,0.49,0.45,0.64
pokeglobal.csv,0.63,0.22,0.0,0.96,0.76,0.22,0.0,0.48,0.48,0.48,0.66,0.0,0.56,0.26,0.52,0.58,0.63,0.33,0.17,0.04
snakeyaml.csv,0.36,0.0,0.27,0.9,0.52,0.35,0.78,0.45,0.63,0.48,0.54,0.5,0.24,0.45,0.66,0.1,0.37,0.41,0.04,0.31
unflobtactical.csv,0.71,0.58,0.55,0.68,0.58,0.43,0.24,0.53,0.5,0.74,0.7,0.51,0.68,0.76,0.3,0.42,0.55,0.37,0.52,0.0
werx.csv,0.05,0.51,0.98,0.0,0.13,0.0,0.0,0.26,0.0,0.0,0.05,0.09,0.0,0.0,0.05,0.17,0.13,0.0,0.09,0.0
zealos.csv,0.37,0.45,0.63,0.0,0.12,0.27,0.75,0.24,0.39,0.38,0.18,0.0,0.12,0.24,0.09,0.0,0.46,0.11,0.25,0.04
