,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,exl.csv
avifile.csv,0.02,1.0,0.02,0.0,0.12,0.5,0.03,0.4,0.37,0.5,0.95,1.0,0.5,0.26,0.74,0.08,0.24,0.45,0.9,0.44
baadengine.csv,0.74,0.6,0.2,1.0,0.54,0.12,1.0,0.89,0.97,0.77,0.85,1.0,1.0,0.86,0.81,0.92,0.62,0.52,1.0,0.8
bibedt.csv,0.11,0.6,0.34,1.0,0.54,0.73,0.83,0.45,0.69,0.33,0.65,0.5,0.7,0.46,0.22,0.2,0.35,0.34,0.41,0.71
cascading.csv,0.64,0.0,0.78,1.0,0.71,0.42,0.53,0.66,0.73,0.47,0.6,0.5,0.6,0.74,0.59,0.4,0.78,0.31,0.34,0.54
dataobjectsdotnet.csv,0.67,0.8,0.72,1.0,0.49,0.23,1.0,0.67,0.23,0.93,0.9,0.0,0.7,0.34,0.81,0.52,0.49,0.59,0.83,1.0
exl.csv,0.15,0.2,0.72,1.0,0.54,0.77,0.13,0.66,0.63,0.3,0.35,0.0,0.6,0.2,0.37,0.48,0.62,0.53,0.07,0.73
gogoego.csv,0.31,0.2,0.12,1.0,0.41,0.77,0.9,0.49,0.32,0.83,0.45,0.0,0.6,0.46,0.63,0.56,0.9,0.37,0.14,0.54
httpcontentparser.csv,0.26,0.2,0.32,0.0,0.51,0.04,0.1,0.54,0.92,0.17,0.8,0.5,0.5,0.49,0.85,0.48,0.53,0.39,0.38,0.39
impala.csv,0.04,0.8,0.3,1.0,0.71,1.0,0.67,0.57,0.44,0.53,0.9,0.5,1.0,0.34,0.15,0.64,0.39,0.64,0.86,0.66
jaxlib.csv,0.29,0.2,0.18,0.0,0.73,0.58,0.43,0.65,0.18,0.7,0.65,1.0,0.5,0.63,0.11,0.28,0.5,0.27,0.38,0.9
jgameai.csv,0.58,0.8,0.01,0.0,0.05,0.54,0.0,0.06,0.06,0.03,0.05,1.0,0.2,0.63,0.0,0.16,0.02,0.02,0.0,0.0
jhotdraw.csv,0.52,0.6,0.85,1.0,0.83,0.62,0.0,0.86,0.58,0.57,0.15,1.0,0.1,0.14,0.48,0.32,0.8,0.23,0.03,0.2
loki-lib.csv,0.38,0.8,0.65,1.0,0.61,0.73,0.93,0.69,0.61,0.83,0.75,0.5,0.7,0.63,0.15,0.64,0.38,0.51,0.62,0.61
patterntesting.csv,0.95,0.8,0.97,1.0,1.0,1.0,0.93,0.95,0.95,0.6,1.0,1.0,0.9,0.97,1.0,0.8,0.97,0.87,0.93,1.0
pokeglobal.csv,0.97,1.0,0.98,1.0,0.66,0.46,1.0,0.67,1.0,0.93,0.95,0.0,1.0,0.83,0.93,0.96,0.76,0.77,0.66,0.98
snakeyaml.csv,0.32,0.0,0.17,1.0,0.39,0.35,0.43,0.39,0.81,0.4,0.6,0.0,0.3,0.4,0.59,0.12,0.35,0.33,0.07,0.61
unflobtactical.csv,0.85,0.8,0.77,1.0,0.71,0.81,0.47,0.64,0.79,0.73,0.85,1.0,0.7,0.74,0.78,0.52,0.75,0.49,0.41,0.76
werx.csv,0.98,1.0,0.97,1.0,0.98,1.0,1.0,0.87,1.0,0.97,0.95,1.0,1.0,0.97,0.96,0.96,0.97,0.98,1.0,0.54
zealos.csv,0.3,0.4,0.55,0.0,0.07,0.27,0.7,0.22,0.42,0.43,0.15,0.0,0.0,0.2,0.04,0.08,0.49,0.12,0.34,0.02
