,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,exl.csv
avifile.csv,0.99,0.17,0.98,1.04,0.89,0.6,0.97,0.71,0.71,0.59,0.89,0.96,0.72,0.82,0.49,0.96,0.82,0.75,0.98,1.02
baadengine.csv,0.31,0.91,0.94,0.53,0.54,0.94,1.0,0.75,0.98,0.43,0.62,0.96,0.93,0.86,0.37,0.92,0.59,0.71,1.0,0.36
bibedt.csv,0.89,0.59,1.2,0.5,0.54,0.63,0.56,0.66,0.68,0.67,0.47,0.57,0.39,0.55,0.78,0.83,0.67,0.74,0.64,0.48
cascading.csv,0.59,1.03,0.78,0.37,0.62,0.64,0.52,0.63,0.56,0.53,0.53,0.78,0.53,0.63,0.58,0.82,0.45,0.74,0.68,0.46
dataobjectsdotnet.csv,0.9,0.94,1.04,0.39,0.57,0.79,0.75,0.64,0.8,0.98,0.66,1.04,0.68,0.66,0.75,0.75,0.58,0.53,0.7,1.0
exl.csv,0.85,0.96,1.04,0.56,0.64,0.71,0.87,0.74,0.66,0.81,0.67,1.0,0.43,0.87,0.85,0.74,0.72,0.7,0.93,0.28
gogoego.csv,0.7,0.92,1.01,0.49,0.6,0.87,0.51,0.57,0.78,0.58,0.66,1.02,0.54,0.55,0.55,0.86,0.82,0.67,0.86,0.47
httpcontentparser.csv,0.84,0.95,0.84,1.06,0.6,0.97,0.9,0.65,0.87,0.83,0.31,0.87,0.59,0.6,0.8,0.68,0.74,0.74,0.67,0.63
impala.csv,0.96,0.74,0.7,0.66,0.85,0.84,0.75,0.79,0.82,0.77,0.98,0.69,0.85,0.8,0.86,0.46,0.82,0.84,0.82,0.91
jaxlib.csv,0.73,0.87,0.85,1.16,0.71,0.61,0.58,0.62,0.83,0.78,0.58,0.06,0.55,0.44,0.9,0.8,0.6,0.77,0.67,0.47
jgameai.csv,1.04,0.56,0.99,1.0,0.95,0.53,1.0,0.94,0.94,0.97,0.96,0.27,0.84,0.92,1.0,0.85,0.98,0.98,1.0,1.0
jhotdraw.csv,0.72,0.67,0.77,0.47,0.95,0.62,1.0,0.92,0.44,0.86,0.85,0.58,0.91,0.87,0.59,0.84,0.7,0.85,0.97,0.8
loki-lib.csv,0.63,0.63,0.83,0.81,0.48,0.65,0.9,0.72,0.8,0.62,0.46,0.88,0.68,0.65,0.85,0.67,0.67,0.73,0.46,0.4
patterntesting.csv,0.93,0.99,1.0,0.97,0.79,0.97,0.69,0.99,0.91,0.43,0.97,0.92,0.74,0.89,0.99,0.89,0.94,0.87,0.83,0.92
pokeglobal.csv,0.87,0.89,1.0,0.41,0.46,0.72,1.0,0.55,0.98,0.83,0.78,1.28,0.95,0.79,0.97,0.86,0.6,0.66,0.78,0.92
snakeyaml.csv,0.84,1.07,0.97,0.36,0.68,0.76,0.61,0.69,0.61,0.62,0.51,1.03,0.72,0.6,0.45,0.9,0.68,0.72,0.94,0.4
unflobtactical.csv,0.81,0.69,1.03,0.56,0.54,0.86,0.54,0.66,0.65,0.34,0.5,0.88,0.55,0.4,0.7,0.8,0.57,0.7,0.6,0.52
werx.csv,0.99,0.86,0.03,1.0,0.97,0.98,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.96,0.97,1.0,1.0,0.9
zealos.csv,0.72,0.62,0.51,1.05,0.93,0.74,0.46,0.82,0.63,0.64,0.85,1.04,1.01,0.81,0.96,0.93,0.71,0.89,0.71,0.98
