,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.93,0.5,0.96,0.82,0.89,0.95,0.69,0.67,0.95,0.67,0.69,0.89,0.88,0.81
dvt.csv,0.79,0.63,0.43,0.84,0.93,0.73,0.83,0.93,0.93,0.88,0.92,0.61,0.9,0.73
flylinkdc.csv,0.69,0.5,0.94,0.5,0.71,0.73,0.54,0.92,0.83,0.56,0.9,0.91,0.69,0.62
fulguro.csv,0.94,0.93,0.52,0.94,0.95,0.96,0.88,0.83,0.94,0.89,0.94,0.88,0.75,0.91
gnome-jabber.csv,0.38,0.37,0.26,0.6,0.4,0.48,0.49,0.38,0.49,0.37,0.52,0.44,0.45,0.42
ipfire-wall.csv,0.94,0.65,0.78,0.95,0.92,0.62,0.8,0.67,0.96,0.56,0.71,0.69,0.87,0.86
jruby.csv,0.34,0.52,0.26,0.54,0.41,0.57,0.49,0.59,0.54,0.86,0.44,0.49,0.39,0.91
ldview.csv,0.63,0.54,0.31,0.57,0.58,0.54,0.68,0.54,0.94,0.76,0.65,0.51,0.56,0.92
maidsafe-dht.csv,0.9,0.92,0.97,0.8,0.85,0.92,0.75,0.88,0.86,0.7,0.42,0.94,0.9,0.75
nuttx.csv,0.36,0.38,0.35,0.61,0.43,0.49,0.67,0.5,0.5,0.59,0.5,0.54,0.57,0.43
oorexx.csv,0.42,0.44,0.47,0.64,0.44,0.39,0.44,0.36,0.54,0.41,0.5,0.51,0.5,0.65
red5.csv,0.63,0.49,0.58,0.8,0.67,0.66,0.95,0.44,0.91,0.67,0.7,0.57,0.92,0.85
vdsf.csv,0.52,0.43,0.99,0.61,0.51,0.76,0.47,0.36,0.45,0.41,0.54,0.49,0.41,0.48
xbrlapi.csv,0.59,0.54,0.28,0.54,0.62,0.51,0.58,0.41,0.55,0.39,0.54,0.53,0.45,0.54
