,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.33,1.0,0.0,0.79,0.33,0.42,0.31,0.67,1.0,0.67,1.0,0.79,0.25,0.12
dvt.csv,0.47,0.47,0.12,0.85,0.14,1.0,0.39,0.6,0.27,0.5,0.92,0.89,0.5,0.03
flylinkdc.csv,1.0,1.0,0.28,0.5,0.46,0.36,0.54,0.69,0.33,0.56,1.0,0.74,0.62,0.07
fulguro.csv,0.19,0.64,0.09,0.71,0.19,0.18,0.5,0.67,0.23,0.56,0.89,0.88,0.75,1.0
gnome-jabber.csv,0.29,0.52,0.09,0.83,0.18,0.32,0.35,0.62,0.28,0.33,0.98,0.87,0.62,0.13
ipfire-wall.csv,0.5,0.57,0.22,0.68,0.23,0.34,0.4,0.76,0.29,1.0,1.0,0.83,0.47,0.21
jruby.csv,0.27,0.45,0.09,0.83,0.26,0.34,0.43,0.55,0.23,0.43,0.97,0.98,0.61,0.09
ldview.csv,0.31,0.63,0.08,0.82,0.2,0.26,1.0,0.58,0.28,0.24,0.95,0.9,0.62,0.12
maidsafe-dht.csv,0.5,0.67,0.28,0.6,1.0,0.15,0.62,0.75,0.29,0.4,0.96,0.88,0.6,0.0
nuttx.csv,0.29,0.52,0.08,0.99,0.24,0.41,0.0,0.67,0.5,0.47,0.97,0.88,0.61,0.12
oorexx.csv,0.33,0.51,0.09,0.84,0.31,0.37,0.41,0.62,0.29,0.3,0.96,0.82,1.0,0.19
red5.csv,0.39,0.51,0.11,0.76,0.33,0.34,0.32,1.0,0.33,0.47,1.0,0.86,0.67,0.15
vdsf.csv,0.23,0.57,0.95,0.82,0.18,0.22,0.36,0.61,0.26,0.31,0.95,0.88,0.59,0.14
xbrlapi.csv,0.29,1.0,0.08,0.82,0.16,0.35,0.38,0.61,0.3,0.42,0.95,0.89,0.61,0.15
