,qtractor.csv,quarkplayer.csv,open-data-kit.csv,zoolib.csv,google-web-toolkit.csv,fmri-dmt.csv
fmri-dmt.csv,0.58,0.08,0.57,0.09,0.6,1.0
google-web-toolkit.csv,0.38,0.09,0.79,0.18,1.0,0.2
open-data-kit.csv,0.57,0.09,1.0,0.13,0.59,0.16
qtractor.csv,1.0,0.04,0.69,0.14,0.6,0.14
quarkplayer.csv,0.0,1.0,0.38,0.03,0.56,0.14
zoolib.csv,0.53,0.06,0.55,0.97,0.69,0.0
