,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.49,0.8,0.37,0.64,0.44,0.32,0.43,0.46,0.41,0.48
chaperon.csv,0.75,0.83,0.68,0.88,0.68,0.58,0.77,0.86,0.58,0.56
geotools.csv,0.34,0.51,0.35,0.44,0.43,0.4,0.41,0.31,0.55,0.39
l2j.csv,0.4,0.73,0.62,0.64,0.56,0.46,0.54,0.35,0.48,0.44
mule.csv,0.41,0.8,0.73,0.58,0.39,0.5,0.49,0.47,0.81,0.52
nunit.csv,0.57,0.5,0.46,0.67,0.69,0.55,0.5,0.54,0.53,0.63
primefaces.csv,0.38,0.52,0.36,0.39,0.39,0.42,0.36,0.42,0.48,0.35
springside.csv,0.37,0.46,0.4,0.41,0.42,0.41,0.36,0.31,0.51,0.64
swtfox.csv,0.71,0.59,0.75,0.53,0.88,0.88,0.99,0.35,0.88,0.87
twostep.csv,0.36,0.48,0.41,0.46,0.38,0.43,0.42,0.37,0.44,0.37
