,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.66,0.56,0.47,0.51,0.58,0.44,0.39,0.49,0.58,0.68,0.96,0.97,0.46
e-bio-flow.csv,0.5,0.6,0.44,0.48,0.45,0.91,0.59,0.53,0.67,0.53,0.42,0.71,0.89
jas.csv,0.67,0.59,0.9,0.64,0.53,0.91,0.91,0.59,0.49,0.67,0.67,0.54,0.75
jbpm.csv,0.82,0.83,0.5,0.76,0.75,0.75,0.5,0.93,0.0,0.67,0.0,0.5,0.92
jgossipforum.csv,0.49,0.46,0.86,0.85,0.72,0.49,0.67,0.5,0.95,0.8,0.41,0.44,0.75
jmonkeyengine.csv,0.51,0.55,0.71,0.55,0.55,0.48,0.7,0.5,0.6,0.78,0.49,0.48,0.5
joustsim.csv,0.5,0.41,0.62,0.57,0.6,0.41,0.37,0.48,0.65,0.67,0.41,0.46,0.5
log4net.csv,0.44,0.91,0.58,0.83,0.95,0.85,0.75,0.47,0.5,0.38,0.94,0.86,0.88
ngl.csv,0.37,0.45,0.37,0.44,0.45,0.38,0.46,0.34,0.5,0.35,0.4,0.47,0.45
piccolo2d.csv,0.4,0.5,0.5,0.62,0.84,0.91,0.61,0.58,0.0,0.45,0.9,0.61,0.88
pustefix.csv,0.75,0.68,0.42,0.57,0.53,0.76,0.42,0.5,0.58,0.9,0.56,0.61,0.43
reaper3d.csv,0.71,0.56,0.77,0.56,0.88,0.59,0.82,0.5,0.51,0.89,0.48,0.54,0.93
sblim.csv,0.5,0.58,0.56,0.97,0.92,0.51,0.77,0.34,0.93,0.47,0.68,0.48,0.93
