,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.33,0.8,0.73,0.68,0.46,0.89,0.92,0.65,0.54,0.57,0.23,0.12,0.8
e-bio-flow.csv,0.4,0.52,0.44,0.67,0.59,0.1,0.18,0.23,0.01,0.17,0.54,0.14,0.08
jas.csv,0.35,0.36,0.11,0.33,0.56,0.11,0.12,0.4,0.57,0.02,0.33,0.35,0.14
jbpm.csv,0.14,0.04,0.02,0.13,0.03,0.03,0.04,0.15,0.0,0.18,0.0,0.0,0.11
jgossipforum.csv,0.52,0.29,0.06,0.22,0.19,0.48,0.22,0.35,0.07,0.02,0.59,0.27,0.03
jmonkeyengine.csv,0.81,0.58,0.44,0.62,0.82,0.74,0.24,0.65,0.61,0.63,0.68,0.68,0.86
joustsim.csv,0.51,0.82,0.27,0.31,0.35,0.82,0.54,0.37,0.26,0.08,0.81,0.55,0.31
log4net.csv,0.43,0.08,0.28,0.17,0.12,0.15,0.08,0.46,0.01,0.27,0.13,0.25,0.14
ngl.csv,0.81,0.54,0.76,0.74,0.86,0.9,0.32,0.77,0.51,0.38,0.71,0.29,0.61
piccolo2d.csv,0.56,0.21,0.27,0.26,0.13,0.13,0.24,0.23,0.0,0.23,0.09,0.15,0.07
pustefix.csv,0.22,0.48,0.72,0.46,0.65,0.23,0.52,0.44,0.57,0.15,0.46,0.5,0.97
reaper3d.csv,0.41,0.31,0.29,0.62,0.26,0.63,0.26,0.6,0.65,0.12,0.35,0.19,0.1
sblim.csv,0.32,0.21,0.24,0.06,0.1,0.47,0.16,0.62,0.13,0.17,0.36,0.83,0.13
