,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,bzbyte.csv,mediaportal.csv,fityk.csv,poormans.csv,fleet-simulator.csv,chrysalis.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.67,0.71,0.73,0.79,0.68,0.81,0.76,0.74,0.36,0.78,0.74,0.79,0.25,0.7,0.41,1.0,0.37,1.0,0.43
bzbyte.csv,0.8,0.0,0.52,0.7,0.84,0.82,0.51,0.0,0.0,0.71,0.64,0.88,0.0,0.67,0.21,0.87,0.17,0.98,0.0
chrysalis.csv,0.72,0.68,0.74,0.76,0.76,0.87,0.69,0.74,0.15,0.82,0.65,0.75,0.25,0.79,0.29,1.0,0.43,0.98,0.3
dspace-gsoc.csv,0.64,0.61,0.78,0.76,0.63,0.83,0.58,0.73,0.15,0.82,0.78,0.75,0.23,0.72,0.25,1.0,0.15,0.97,0.28
fbmanager.csv,0.9,0.86,0.79,0.88,0.78,0.77,0.67,1.0,0.8,0.92,0.64,0.85,0.0,0.9,0.39,1.0,0.33,1.0,1.0
fityk.csv,0.55,0.58,0.59,0.81,0.67,0.79,0.66,0.75,0.18,0.79,0.62,0.76,0.21,0.8,0.23,1.0,0.23,0.98,0.49
fleet-simulator.csv,0.49,0.6,0.51,0.75,0.68,0.81,0.5,0.76,0.22,0.71,0.68,0.79,0.19,0.67,0.3,1.0,0.19,0.98,0.36
freenet.csv,0.48,0.6,0.51,0.78,0.79,0.86,0.49,0.79,0.13,0.69,0.64,0.81,0.19,0.64,0.27,0.76,0.19,0.98,0.34
google-caja.csv,0.65,0.6,0.67,0.81,0.66,0.82,0.5,0.89,0.14,0.85,0.67,0.76,0.21,0.7,0.24,0.94,0.26,0.98,0.3
k3b.csv,0.63,0.58,0.59,0.77,0.68,0.83,0.58,0.79,0.14,0.84,0.65,0.79,0.23,0.69,0.27,0.84,0.18,1.0,0.36
mediaportal.csv,0.68,0.67,1.0,0.89,0.89,0.78,0.79,0.9,0.41,0.86,0.64,1.0,0.35,0.57,0.48,1.0,0.0,1.0,0.56
myfaces.csv,0.65,0.78,0.76,0.83,0.77,0.86,0.62,0.92,0.37,0.79,0.75,0.79,0.22,0.71,0.44,1.0,0.52,1.0,0.4
onotoa.csv,0.35,0.6,0.38,0.6,0.64,0.85,0.37,0.73,0.09,0.61,0.62,0.61,0.13,0.6,0.19,1.0,0.21,0.97,0.19
paintown.csv,0.76,0.62,0.59,0.73,0.68,0.81,0.44,0.72,0.13,0.77,0.72,0.79,0.22,0.74,0.2,0.85,0.17,0.97,0.3
poormans.csv,0.39,0.67,0.27,0.86,0.83,0.86,0.74,0.87,0.25,0.81,0.65,0.82,0.21,0.57,0.52,1.0,0.36,1.0,0.73
sqlpower-library.csv,0.48,0.57,0.52,0.85,0.67,0.84,0.5,0.82,0.15,0.71,0.64,0.74,0.19,0.67,0.22,0.84,0.16,0.98,0.34
triplea.csv,0.69,0.82,0.74,0.75,0.65,0.83,0.64,0.83,0.14,0.79,0.71,0.76,0.24,0.76,0.27,1.0,0.33,1.0,0.35
xamj.csv,0.67,0.67,0.67,0.87,0.66,0.83,0.56,0.76,0.28,0.83,0.72,0.81,0.21,0.73,0.29,1.0,0.29,1.0,0.58
