,openefm.csv,jgnash.csv,ingex.csv,ambulant.csv,synecdoche.csv
ambulant.csv,0.46,0.63,0.37,0.62,0.37
ingex.csv,0.44,0.45,0.45,0.48,0.42
jgnash.csv,0.47,0.58,0.36,0.42,0.36
openefm.csv,0.51,0.44,0.47,0.51,0.55
synecdoche.csv,0.48,0.45,0.65,0.85,0.56
