,openefm.csv,jgnash.csv,ingex.csv,ambulant.csv,synecdoche.csv
ambulant.csv,0.87,0.78,0.75,0.38,0.96
ingex.csv,0.91,0.75,0.48,0.61,0.72
jgnash.csv,0.51,0.45,0.57,0.67,0.78
openefm.csv,0.4,0.88,0.63,0.65,0.63
synecdoche.csv,0.68,0.71,0.69,0.89,0.43
