,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.54,0.5,0.74,0.28,0.5,0.4,0.0,0.0,0.33,0.0
flylegacy.csv,0.5,0.86,0.86,0.17,0.62,0.35,0.22,0.82,0.33,0.36
jguard.csv,0.39,0.77,0.79,0.19,0.66,0.46,0.22,0.8,0.32,0.48
m-a-d-n-e-s-s.csv,0.7,1.0,0.74,0.25,0.4,0.17,0.0,1.0,0.61,0.38
mob-sen-plat.csv,0.41,0.84,0.75,0.14,0.66,0.33,0.22,0.81,0.46,0.47
raygina.csv,0.57,0.0,0.78,0.17,0.53,0.33,0.16,0.88,0.5,0.47
st-filteredstatistics.csv,0.38,0.83,0.8,0.2,0.65,0.44,0.17,0.97,0.4,0.5
upp-mirror.csv,0.39,0.6,0.77,0.21,0.75,0.38,0.17,0.7,0.36,0.38
wishmaster.csv,0.43,0.6,0.72,0.19,0.68,0.31,0.43,0.57,0.5,0.39
yarp.csv,0.38,0.0,0.79,0.19,0.25,0.21,0.31,1.0,0.53,0.52
