,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.17,0.47,0.5,0.29,0.72,0.02,0.56,0.86,0.42,0.6,0.56,0.51,0.58
echongl.csv,0.2,0.62,0.39,0.44,0.86,0.0,0.5,0.82,0.36,0.38,0.5,0.36,0.31
les-indemodables.csv,0.19,0.59,0.43,0.45,0.72,0.02,0.49,0.75,0.56,0.66,0.31,0.48,0.52
mbse.csv,0.22,0.5,0.36,0.52,0.62,0.03,0.47,0.39,0.57,0.43,0.6,0.5,0.4
ns-3-dev-def-routing.csv,0.2,0.61,0.47,0.4,0.73,0.04,0.59,0.87,0.2,0.54,0.34,0.45,0.75
psycle.csv,0.21,0.7,0.5,0.43,0.79,0.02,0.54,0.86,0.5,0.54,0.6,0.6,0.59
qpe.csv,0.27,0.42,0.37,0.48,0.48,0.0,0.49,0.55,0.37,0.24,0.44,0.5,0.49
simplewebservices.csv,0.14,0.77,0.4,0.39,0.71,0.02,0.53,0.95,0.57,0.53,0.62,0.5,0.84
v8.csv,0.16,0.53,0.31,0.42,0.84,0.0,0.5,0.9,0.62,0.36,0.57,0.17,0.82
wikipediardware.csv,0.2,0.68,0.46,0.4,0.79,0.02,0.51,0.88,0.6,0.56,0.59,0.47,0.85
wxstudio.csv,0.13,0.3,0.23,0.23,0.3,0.03,0.38,0.24,0.65,0.19,0.07,0.42,0.7
xamj.csv,0.15,0.71,0.26,0.4,0.73,0.03,0.51,0.6,0.53,0.43,0.42,0.61,0.81
