,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,2.0,5.0,2.0,38.0,9.0,0.0,2.0,4.0,1.0,2.0,22.0,2.0
bscwweasel.csv,0.0,16.0,1.0,4.0,2.0,1.0,1.0,5.0,2.0,1.0,4.0,1.0
capcode.csv,3.0,11.0,2.0,36.0,10.0,0.0,2.0,15.0,0.0,0.0,62.0,5.0
emite.csv,0.0,26.0,2.0,21.0,4.0,8.0,0.0,4.0,3.0,9.0,62.0,4.0
lamp.csv,1.0,0.0,2.0,14.0,15.0,12.0,3.0,1.0,0.0,3.0,24.0,0.0
mecat.csv,2.0,142.0,0.0,161.0,2.0,7.0,147.0,0.0,85.0,0.0,2.0,0.0
nodal.csv,0.0,16.0,5.0,1.0,9.0,4.0,0.0,3.0,0.0,0.0,18.0,1.0
pydev.csv,1.0,13.0,2.0,41.0,1.0,0.0,0.0,3.0,1.0,3.0,16.0,3.0
retromenu.csv,0.0,2.0,1.0,4.0,1.0,6.0,0.0,8.0,2.0,0.0,62.0,0.0
smbopensoft.csv,0.0,10.0,18.0,18.0,13.0,13.0,1.0,3.0,1.0,0.0,34.0,1.0
stuproa-cims.csv,1.0,142.0,9.0,0.0,8.0,4.0,0.0,0.0,5.0,2.0,5.0,2.0
thout.csv,0.0,32.0,0.0,0.0,12.0,15.0,0.0,1.0,1.0,3.0,11.0,2.0
