,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.49,0.11,0.27,0.13,0.34,0.14,0.77,0.26,0.27,0.34,0.05,0.45
bscwweasel.csv,1.0,0.09,0.24,0.3,0.6,0.67,0.47,0.26,0.5,0.55,0.2,0.5
capcode.csv,0.4,0.1,0.25,0.13,0.08,0.36,0.78,0.26,0.3,0.3,0.0,0.36
emite.csv,0.61,0.06,0.29,0.05,0.45,0.04,0.7,0.36,0.4,0.29,0.0,0.57
lamp.csv,0.75,0.5,0.6,0.2,0.31,0.14,0.75,0.5,0.33,0.32,0.05,0.67
mecat.csv,0.82,0.0,0.4,0.0,0.33,0.1,0.0,0.29,0.0,0.58,0.25,1.0
nodal.csv,1.0,0.14,0.41,0.22,0.33,0.32,0.78,0.45,0.68,0.42,0.07,0.62
pydev.csv,0.47,0.15,0.42,0.14,0.38,0.17,0.7,0.26,0.23,0.62,0.05,0.38
retromenu.csv,1.0,0.31,0.89,0.21,0.6,0.14,0.7,0.33,0.39,0.62,0.0,0.8
smbopensoft.csv,0.83,0.1,0.22,0.15,0.34,0.18,0.79,0.28,0.3,0.33,0.04,0.45
stuproa-cims.csv,0.5,0.0,0.4,0.27,0.47,0.21,0.83,0.71,0.5,0.43,0.17,0.25
thout.csv,0.54,0.09,0.71,0.62,0.33,0.12,0.79,0.28,0.25,0.43,0.05,0.43
