,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.96,1.0,0.95,0.95,1.0,1.0,0.96,0.82,1.0,0.94,1.0,0.97
bscwweasel.csv,0.01,0.14,0.14,0.15,0.14,0.17,0.15,0.33,0.09,0.44,0.33,0.03
capcode.csv,0.02,0.71,0.75,0.65,0.05,0.33,0.52,0.15,0.61,0.17,0.0,0.29
emite.csv,0.67,0.29,0.25,0.1,0.24,0.08,0.06,0.09,0.09,0.17,0.0,0.55
lamp.csv,0.03,0.07,0.07,0.3,0.52,0.58,0.38,0.27,0.52,0.22,1.0,0.06
mecat.csv,0.09,0.0,0.05,0.0,0.05,0.08,0.0,0.11,0.0,0.31,0.33,0.03
nodal.csv,0.02,0.71,0.45,0.4,0.71,0.5,0.06,0.18,0.57,0.67,0.67,0.16
pydev.csv,0.87,0.29,0.23,1.0,0.71,0.92,0.24,0.8,0.26,0.58,0.67,0.26
retromenu.csv,0.01,0.29,0.18,0.2,0.57,0.33,0.26,0.11,0.3,0.14,0.0,0.13
smbopensoft.csv,0.79,1.0,0.86,0.75,1.0,0.75,0.83,0.38,0.96,0.78,0.67,0.87
stuproa-cims.csv,0.01,0.0,0.48,0.55,0.71,0.25,0.05,0.4,0.22,0.56,0.67,0.03
thout.csv,0.72,0.5,0.39,0.25,0.62,0.58,0.5,0.89,0.78,0.67,0.67,0.42
