,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,nebuladevice.csv
ikvm.csv,0.6,0.8,0.03,0.27,0.69,0.83,0.13
libtorrent.csv,0.73,0.42,0.06,0.3,0.75,0.94,0.23
mcmc-jags.csv,0.71,0.41,0.05,0.65,0.76,0.88,0.16
nebuladevice.csv,0.68,0.43,0.0,0.29,0.0,0.87,0.32
olap-navigator.csv,0.98,0.45,0.09,0.5,0.85,1.0,0.28
pidgin.csv,0.81,0.55,0.05,0.67,0.85,0.91,0.23
sepgsql.csv,0.97,0.48,0.11,0.5,0.87,1.0,0.33
