,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,mplayer-ce.csv,biopax.csv,crux-framework.csv,xamj.csv,ng4j.csv,jmule.csv
alsa.csv,0.45,0.54,0.32,0.77,0.3,0.08,0.62,0.78,0.82,0.1,0.65,0.98,0.64,0.67,0.76,0.48,0.67,0.88,0.5,0.0
arcallians.csv,0.44,0.62,0.72,0.81,0.89,0.29,0.94,0.49,0.57,0.2,0.65,0.36,0.54,0.63,0.68,0.52,1.0,0.7,0.45,0.38
arianne.csv,0.98,0.75,0.7,0.84,0.57,0.5,0.81,0.63,0.71,0.65,0.55,0.57,0.79,0.74,0.78,0.52,0.67,0.62,0.7,0.83
aztec.csv,0.56,0.05,0.14,0.07,0.23,0.92,0.12,0.11,0.59,0.35,0.35,0.42,0.46,0.09,0.0,0.59,0.67,0.18,0.3,0.17
biopax.csv,0.86,0.86,0.86,0.86,0.77,0.58,1.0,1.0,1.0,0.85,0.95,0.85,0.95,0.9,1.0,0.97,1.0,1.0,0.85,0.83
bl-toolkit.csv,0.47,0.43,1.0,0.42,0.95,0.29,0.81,1.0,0.65,0.85,0.65,0.87,0.59,0.5,0.87,0.32,0.33,0.71,0.55,0.62
clamav.csv,0.4,0.56,0.32,0.45,0.36,0.46,0.56,0.66,0.43,0.95,0.3,0.48,0.49,0.56,0.45,0.48,0.67,0.39,0.25,0.58
crux-framework.csv,0.01,0.0,0.1,0.0,0.0,0.0,0.25,0.08,0.02,0.0,0.2,0.06,0.03,0.0,0.14,0.0,1.0,0.02,0.0,0.0
gnupdate.csv,0.7,0.82,0.24,0.74,0.93,1.0,0.38,0.4,0.94,0.85,0.9,0.79,0.91,0.67,0.48,0.61,0.67,0.61,0.8,1.0
jmule.csv,0.57,0.82,0.66,0.75,0.52,0.17,0.81,0.42,0.88,0.4,0.9,0.51,0.56,0.73,1.0,0.68,1.0,0.84,0.65,0.96
mbse.csv,0.46,0.62,0.48,0.55,0.57,0.25,0.69,0.82,0.73,0.65,0.7,0.61,0.52,0.59,0.4,0.48,1.0,0.55,0.55,0.5
mplayer-ce.csv,0.92,0.88,0.96,0.8,0.86,1.0,0.75,0.89,0.86,0.95,0.75,0.9,0.86,0.93,0.96,0.82,1.0,0.55,0.85,0.96
ng4j.csv,0.22,0.62,0.32,0.61,0.75,0.08,0.44,0.46,0.65,0.65,0.8,0.34,0.42,0.62,0.68,0.49,0.67,0.61,0.9,0.75
ns-3-dev-def-routing.csv,0.27,0.4,0.36,0.38,0.57,0.38,0.31,0.88,0.2,0.5,0.65,0.37,0.41,0.95,0.61,0.34,0.33,0.35,0.5,0.12
openxava.csv,0.32,0.42,0.22,0.12,0.05,0.12,1.0,0.74,0.06,0.45,0.2,0.52,0.26,0.24,0.52,0.24,0.67,0.39,0.3,0.67
phonon-vlc-mplayer.csv,0.42,0.74,0.8,0.97,0.7,0.42,0.75,0.2,0.63,0.75,0.85,0.41,0.48,0.51,0.36,0.55,0.67,0.71,0.55,0.58
qgis.csv,0.37,1.0,0.32,0.67,0.5,0.38,0.62,0.35,0.67,0.25,0.4,0.27,0.36,0.52,0.4,0.55,1.0,0.84,0.45,0.12
vars-redux.csv,0.25,0.27,0.38,0.32,0.14,0.08,0.88,0.45,0.94,0.15,0.4,0.33,0.39,0.23,0.46,0.25,0.67,0.57,0.4,0.42
xamj.csv,0.91,0.86,0.96,0.78,0.82,1.0,0.69,0.98,0.76,0.9,0.7,0.89,0.74,0.78,0.54,0.68,1.0,0.94,0.9,0.83
yafdotnet.csv,0.45,0.67,0.68,0.61,0.93,0.71,0.69,1.0,0.59,0.95,0.7,0.58,0.98,0.7,0.92,0.58,0.67,0.58,0.55,0.83
