,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv
alembik.csv,0.31,0.14,0.0,0.69,0.35,0.16,0.2,0.5,0.18
arsenal-1.csv,0.75,0.13,0.65,0.08,0.12,0.16,0.13,0.12,0.41
barracudamvc.csv,0.82,0.59,0.64,0.54,0.44,0.88,0.54,0.42,0.25
irplus.csv,0.71,0.56,0.42,0.6,0.55,0.67,0.59,0.47,0.34
lite.csv,0.54,0.16,0.58,0.36,0.29,0.62,0.47,0.62,0.47
mevenide.csv,0.71,0.39,0.12,0.0,0.21,0.22,0.0,0.12,0.67
mumble.csv,0.76,0.57,0.46,0.19,0.67,0.85,0.46,0.39,0.18
ontopia.csv,0.31,0.52,0.42,0.48,0.5,0.88,0.32,0.4,0.19
openintents.csv,0.48,0.65,0.64,0.57,0.19,0.65,0.52,0.44,0.32
