,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,tango-cs.csv,nativeclient.csv
bacula.csv,0.64,0.75,0.65,0.65,0.46,0.51,0.39,0.99,0.55,0.58,0.53,0.58,0.55,0.25,0.55,0.59,0.67,0.4,0.59,0.48
decidr.csv,0.65,0.43,0.68,0.71,0.61,0.67,0.57,0.23,0.57,0.51,0.98,0.54,0.26,0.53,0.57,0.55,0.65,0.69,0.43,0.55
elmo.csv,0.01,1.0,0.0,0.0,0.0,0.0,0.05,0.0,0.02,0.0,0.05,0.02,0.02,0.0,0.01,0.04,0.0,0.0,0.0,0.04
gpac.csv,0.41,0.24,0.48,0.38,0.59,0.66,0.62,0.32,0.49,0.29,0.56,0.98,0.45,0.6,0.63,0.43,0.51,0.42,0.33,0.35
img-browse-sort.csv,0.36,0.24,0.16,0.43,0.3,0.15,0.53,0.06,0.23,0.32,0.51,0.21,0.07,0.58,0.26,0.28,0.16,1.0,0.47,0.15
jajuk.csv,0.59,0.67,0.57,0.97,0.55,0.32,0.52,0.35,0.62,0.6,0.63,0.62,0.5,0.45,0.61,0.66,0.55,0.6,0.57,0.51
ktc.csv,0.99,0.0,0.58,0.38,0.56,0.4,0.18,0.2,0.61,0.4,0.27,0.24,0.33,0.39,0.57,0.49,0.58,0.35,0.59,0.23
nativeclient.csv,0.69,0.23,0.61,0.71,0.59,0.59,0.53,0.67,0.6,0.55,0.6,0.48,0.58,0.81,0.53,0.63,0.72,0.53,0.49,0.97
neoengine.csv,0.69,0.27,0.98,0.59,0.47,0.5,0.41,0.48,0.54,0.54,0.46,0.48,0.33,0.17,0.57,0.58,0.51,0.55,0.58,0.52
nicepress.csv,0.56,0.44,0.36,0.25,0.34,0.28,0.13,0.53,0.61,0.98,0.24,0.6,0.48,0.17,0.35,0.35,0.15,0.0,0.54,0.12
omseek.csv,0.58,0.0,0.05,0.45,0.11,0.52,0.42,0.02,0.19,0.4,0.45,0.14,0.0,0.45,0.26,0.95,0.02,0.18,0.51,0.1
rosegarden.csv,0.59,0.23,0.55,0.47,0.72,0.49,0.5,0.55,0.96,0.53,0.46,0.4,0.43,0.4,0.61,0.46,0.59,0.5,0.52,0.32
sigil.csv,0.68,0.43,0.67,0.55,0.67,0.68,0.6,0.51,0.53,0.76,0.48,0.55,0.48,0.33,0.54,0.67,1.0,0.58,0.19,0.43
smarttag.csv,0.28,0.0,0.33,0.23,0.4,0.28,0.24,0.17,0.45,0.29,0.31,0.4,0.24,0.94,0.16,0.37,0.18,0.0,0.32,0.09
sylpheed-claws.csv,0.54,0.44,0.64,0.6,0.58,0.51,0.61,0.61,0.54,0.45,0.56,0.61,0.97,0.6,0.54,0.51,0.29,0.18,0.64,0.34
tango-cs.csv,0.49,0.0,0.37,0.35,0.39,0.41,0.2,0.02,0.42,0.49,0.36,0.09,0.18,0.39,0.62,0.47,0.1,0.1,0.97,0.46
vapor.csv,0.5,0.0,0.37,0.24,0.34,1.0,0.33,0.17,0.5,0.43,0.38,0.06,0.04,0.44,0.31,0.64,0.6,0.27,0.6,0.32
xemeiah.csv,0.62,0.44,0.52,0.64,0.72,0.45,0.28,0.53,0.53,0.41,0.38,0.45,0.51,0.4,0.99,0.5,0.4,0.35,0.57,0.28
zorannt.csv,0.41,0.52,0.49,0.48,0.93,0.46,0.5,0.24,0.37,0.46,0.43,0.0,0.34,0.74,0.54,0.49,0.52,0.5,0.55,0.55
zscreen.csv,0.74,0.4,0.66,0.53,0.38,0.51,0.98,0.53,0.61,0.65,0.41,0.53,0.56,0.46,0.66,0.69,0.65,0.21,0.43,0.54
