,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,tango-cs.csv,nativeclient.csv
bacula.csv,0.7,0.8,0.63,0.67,0.43,0.48,0.35,0.99,0.61,0.56,0.53,0.8,0.66,0.21,0.55,0.58,0.67,0.38,0.67,0.44
decidr.csv,0.68,0.4,0.72,0.74,0.74,0.68,0.54,0.2,0.7,0.5,0.98,0.75,0.23,0.5,0.55,0.55,0.67,0.85,0.4,0.59
elmo.csv,0.01,1.0,0.0,0.0,0.0,0.0,0.04,0.0,0.02,0.0,0.04,0.02,0.02,0.0,0.01,0.03,0.0,0.0,0.0,0.03
gpac.csv,0.37,0.2,0.44,0.34,0.61,0.68,0.59,0.29,0.45,0.25,0.58,0.98,0.41,0.71,0.63,0.39,0.48,0.38,0.29,0.31
img-browse-sort.csv,0.31,0.2,0.13,0.38,0.26,0.12,0.48,0.05,0.19,0.28,0.48,0.18,0.06,0.57,0.22,0.24,0.13,1.0,0.44,0.12
jajuk.csv,0.57,0.8,0.55,0.96,0.52,0.28,0.5,0.31,0.61,0.58,0.62,0.8,0.46,0.43,0.61,0.67,0.52,0.62,0.6,0.49
ktc.csv,0.99,0.0,0.54,0.34,0.52,0.36,0.15,0.17,0.57,0.36,0.23,0.2,0.29,0.36,0.54,0.45,0.54,0.31,0.58,0.19
nativeclient.csv,0.84,0.2,0.77,0.79,0.61,0.6,0.5,0.76,0.62,0.58,0.66,0.46,0.57,0.86,0.64,0.73,0.77,0.85,0.58,0.97
neoengine.csv,0.75,1.0,0.98,0.6,0.43,0.68,0.72,0.81,0.54,0.67,0.41,0.7,0.96,0.14,0.57,0.67,0.5,0.54,0.56,0.49
nicepress.csv,0.52,0.4,0.31,0.21,0.3,0.24,0.11,0.59,0.58,0.97,0.2,0.59,0.52,0.14,0.3,0.3,0.12,0.0,0.51,0.1
omseek.csv,0.55,0.0,0.04,0.48,0.09,0.52,0.41,0.02,0.16,0.36,0.46,0.12,0.0,0.71,0.22,0.94,0.02,0.15,0.82,0.08
rosegarden.csv,0.54,0.2,0.52,0.42,0.7,0.48,0.46,0.59,0.95,0.5,0.41,0.36,0.38,0.36,0.57,0.42,0.56,0.46,0.49,0.29
sigil.csv,0.67,0.4,0.66,0.5,0.7,0.72,0.57,0.49,0.5,0.78,0.44,0.52,0.44,0.29,0.54,0.7,1.0,0.54,0.16,0.38
smarttag.csv,0.24,1.0,0.29,0.19,0.35,0.24,0.2,0.91,0.41,0.25,0.27,0.84,0.89,0.93,0.13,0.33,0.15,0.0,0.29,0.07
sylpheed-claws.csv,0.51,0.4,0.7,0.56,0.57,0.48,0.61,0.67,0.5,0.42,0.58,0.61,0.96,0.71,0.51,0.48,0.25,0.15,0.73,0.3
tango-cs.csv,0.44,0.0,0.33,0.3,0.35,0.36,0.17,0.02,0.37,0.47,0.31,0.07,0.15,0.36,0.63,0.42,0.08,0.08,0.96,0.45
vapor.csv,0.46,0.0,0.33,0.2,0.3,1.0,0.28,0.14,0.47,0.39,0.34,0.05,0.03,0.43,0.27,0.64,0.56,0.23,0.6,0.28
xemeiah.csv,0.58,0.4,0.48,0.6,0.74,0.4,0.24,0.51,0.49,0.36,0.33,0.43,0.49,0.36,0.99,0.45,0.35,0.31,0.6,0.24
zorannt.csv,0.38,0.8,0.51,0.5,0.91,0.52,0.5,0.92,0.33,0.44,0.39,0.93,0.74,0.93,0.57,0.52,0.48,0.46,0.73,0.59
zscreen.csv,0.88,0.4,0.69,0.95,0.74,0.84,0.98,0.91,0.78,0.72,0.91,0.62,0.78,0.93,0.84,0.85,0.73,0.92,0.87,0.54
