,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv
acdk.csv,0.4,0.61,0.89,0.86,0.91,0.52,0.43,0.4,0.54,0.32,0.52,0.65,0.41,0.41,0.35,0.67
amygdala.csv,0.38,0.5,0.46,0.89,0.87,0.54,0.45,0.42,0.68,0.34,0.68,0.44,0.85,0.58,0.56,0.5
awemud.csv,0.38,0.4,0.46,0.77,0.4,0.5,0.42,0.44,0.55,0.0,0.35,0.44,0.46,0.36,0.37,0.56
bullet.csv,0.38,0.42,0.43,0.61,0.55,0.35,0.51,0.65,1.0,0.91,0.57,0.41,0.63,0.86,0.56,0.37
customwars.csv,0.33,0.59,0.39,0.56,0.68,0.38,0.53,0.45,0.55,0.0,0.49,0.5,0.43,0.49,0.29,0.43
dvd-create.csv,0.42,0.41,0.46,0.65,0.4,0.43,0.44,0.4,0.49,0.0,0.35,0.44,0.46,0.37,0.33,0.34
gbif-indexingtoolkit.csv,0.46,0.56,0.54,0.57,0.42,0.75,0.6,0.75,0.59,0.0,0.4,0.54,0.58,0.72,0.68,0.39
go.csv,0.44,0.45,0.45,0.73,0.46,0.4,0.46,0.42,0.49,0.0,0.33,0.43,0.55,0.42,0.34,0.43
gss.csv,0.33,0.36,0.38,0.56,0.35,0.3,0.41,0.33,0.45,0.0,0.32,0.39,0.4,0.32,0.29,0.39
kwave.csv,0.42,0.39,0.74,0.58,0.39,0.41,0.46,0.33,0.55,0.0,0.35,0.44,0.42,0.34,0.3,0.5
lsb.csv,0.38,0.6,0.46,0.74,0.41,0.69,0.75,0.89,0.98,0.75,0.37,0.51,0.73,0.74,0.59,0.4
mpgravity.csv,0.4,0.45,0.38,0.62,0.38,0.37,0.46,0.36,0.0,0.69,0.33,0.4,0.0,0.35,0.32,0.32
qcad2.csv,0.53,0.59,0.85,0.83,0.75,0.44,0.52,0.5,0.74,0.42,0.54,0.86,0.57,0.5,0.39,0.36
qtwin.csv,0.88,0.0,0.0,0.0,0.0,0.83,0.86,0.56,1.0,0.86,0.68,0.75,0.98,0.63,0.7,0.83
roller.csv,0.45,0.43,0.41,0.57,0.4,0.43,0.5,0.37,0.53,0.47,0.35,0.44,0.45,0.43,0.31,0.31
xinity.csv,0.86,0.43,0.95,0.64,0.51,0.75,0.67,0.46,0.63,0.38,0.47,0.82,0.45,0.53,0.36,0.35
