,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv
acdk.csv,0.57,0.69,0.82,0.83,0.85,0.74,0.38,0.68,0.29,0.53,0.59,0.76,0.35,0.52,0.65,0.67
amygdala.csv,0.59,0.97,0.72,0.83,0.83,0.7,0.48,0.81,0.9,0.88,0.73,0.49,0.78,0.54,0.74,0.84
awemud.csv,0.51,0.49,0.77,0.92,0.81,0.59,0.55,0.76,0.31,1.0,0.72,0.54,0.45,0.63,0.73,0.59
bullet.csv,0.67,0.69,0.95,0.4,0.65,0.37,0.56,0.74,0.51,1.04,0.83,0.69,0.72,0.97,0.7,0.73
customwars.csv,0.52,0.71,0.82,0.47,0.78,0.62,0.66,0.82,0.26,1.0,0.62,0.76,0.39,0.74,0.79,0.43
dvd-create.csv,0.6,0.73,0.69,1.03,0.28,0.45,0.85,0.6,0.61,1.0,0.85,0.49,0.88,0.65,0.61,0.86
gbif-indexingtoolkit.csv,0.78,0.75,0.88,0.99,0.84,0.86,0.85,0.53,0.94,1.0,0.81,0.83,0.7,0.77,0.69,1.04
go.csv,0.79,0.34,0.53,0.82,0.55,0.5,0.43,0.85,0.46,0.92,0.94,0.72,0.43,0.6,0.71,0.54
gss.csv,0.64,0.51,0.66,0.47,0.47,0.6,0.45,0.76,0.35,1.0,0.85,0.57,0.43,0.78,0.92,0.32
kwave.csv,0.5,0.96,0.44,0.93,1.0,0.61,0.58,0.81,0.55,1.0,0.83,0.7,0.84,0.73,0.73,0.45
lsb.csv,0.6,0.79,0.91,0.33,0.84,0.73,0.8,0.64,0.89,0.92,0.87,0.89,0.54,0.76,0.81,0.94
mpgravity.csv,0.87,0.45,0.81,0.94,0.79,0.84,0.97,0.94,1.0,0.39,1.0,0.94,1.0,0.76,0.85,1.0
qcad2.csv,0.64,0.64,0.64,0.74,0.75,0.66,0.4,0.69,0.31,0.44,0.82,0.77,0.4,0.77,0.69,0.76
qtwin.csv,0.93,1.0,1.0,1.0,1.0,0.97,0.92,0.7,0.09,0.84,0.78,0.92,0.86,0.62,0.73,0.83
roller.csv,0.68,0.76,0.98,0.99,1.0,0.97,0.85,0.71,1.0,0.57,0.7,0.89,0.93,0.35,0.79,0.95
xinity.csv,0.84,1.01,0.6,1.12,0.98,0.86,0.89,0.61,1.12,0.98,0.67,0.76,0.96,0.66,0.48,0.96
