,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv,pixel-commandos.csv,xmoto.csv
ardour.csv,0.29,0.43,0.41,0.39,0.61,0.77,0.6,0.4,0.53,0.4,0.69,0.65,0.5,0.39,0.46,0.29,0.43,0.35,0.25,0.5
cornerstone.csv,0.51,0.71,0.58,0.6,0.79,0.73,0.95,0.73,0.96,0.94,0.44,0.49,0.7,0.62,0.88,0.39,0.57,0.64,0.51,0.78
emeraldemu.csv,0.55,0.51,0.59,0.75,0.88,0.87,0.62,0.39,0.68,0.49,0.71,0.89,0.76,0.98,0.5,0.85,0.53,0.86,0.29,0.55
grafx2.csv,0.56,0.47,0.5,0.42,0.76,0.73,0.53,0.44,0.61,0.37,0.69,0.56,0.59,0.32,0.6,0.34,0.56,0.54,0.29,0.5
jahshakafx.csv,0.3,0.43,0.49,0.57,0.7,0.72,0.58,0.45,0.54,0.51,0.65,0.6,0.46,0.35,0.44,0.39,0.49,0.62,0.27,0.54
kindb.csv,0.41,0.6,0.61,0.45,0.48,0.76,0.8,0.51,0.59,0.39,0.78,0.74,0.55,0.35,0.51,0.22,0.6,0.71,0.37,0.5
maya-work-in-progress.csv,0.71,0.5,0.46,0.52,1.0,0.61,0.73,0.64,0.74,0.26,0.98,0.52,0.52,0.34,0.52,0.39,0.65,0.63,0.73,0.55
netatalk.csv,0.4,0.7,0.84,0.76,0.72,0.67,0.61,0.66,0.79,0.58,0.87,0.64,0.43,0.75,0.78,0.81,0.75,0.4,0.71,0.56
novembre.csv,0.38,0.48,0.86,0.77,0.78,0.69,0.37,0.6,0.77,0.61,0.65,0.44,0.91,0.54,0.79,0.31,0.47,0.49,0.31,0.64
ns-3.csv,0.58,0.47,0.75,0.94,0.88,0.52,0.9,0.89,0.75,0.61,0.55,0.96,0.75,0.99,0.81,0.94,0.88,0.97,0.92,0.7
nullc.csv,0.53,0.89,0.99,0.78,0.2,0.65,0.57,0.53,0.61,0.75,0.74,0.65,0.61,0.4,0.44,0.41,0.69,0.71,0.38,0.57
open-beos.csv,0.4,0.47,0.43,0.57,0.61,0.64,0.61,0.6,0.47,0.63,0.74,0.84,0.66,0.49,0.4,0.75,0.51,0.77,0.4,0.53
pixel-commandos.csv,0.96,0.68,0.76,0.69,0.82,0.85,0.6,0.81,0.86,0.94,0.93,0.93,0.82,0.64,0.6,0.69,0.63,0.73,0.07,0.81
planeshift.csv,0.98,0.92,0.94,0.99,0.85,0.63,0.66,0.56,0.81,0.64,0.68,0.89,0.45,0.44,0.76,0.69,0.89,0.74,0.65,0.75
plee-the-bear.csv,0.35,0.61,0.33,0.96,0.74,0.66,0.67,0.81,0.69,0.38,0.74,0.59,0.69,0.68,0.75,0.75,0.58,0.7,0.62,0.69
reaper-ecad.csv,0.53,0.74,0.54,0.33,0.78,0.95,0.93,0.65,0.88,0.97,0.82,1.0,0.71,1.0,0.71,0.82,0.57,0.86,0.75,0.86
sbml.csv,0.49,0.45,0.55,0.57,0.61,0.54,0.78,0.78,0.53,0.55,0.64,0.66,0.71,0.54,0.31,0.46,0.47,0.64,0.64,0.5
unimrcp.csv,0.6,0.53,0.5,0.54,0.59,0.6,0.8,0.49,0.52,0.37,0.97,0.36,0.58,0.56,0.43,0.29,0.62,0.59,0.45,0.46
unladen-swallow.csv,0.66,0.56,0.49,0.92,0.86,0.7,0.67,0.61,0.63,0.6,0.71,0.44,0.69,0.57,0.76,0.59,0.49,0.47,0.61,0.84
xmoto.csv,0.47,0.48,0.48,0.92,0.55,0.63,0.56,0.45,0.59,0.49,0.64,0.58,0.53,0.4,0.59,0.63,0.56,0.98,0.49,0.42
