,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv,pixel-commandos.csv,xmoto.csv
ardour.csv,0.19,0.33,0.3,0.27,0.18,0.2,0.28,0.22,0.24,0.13,0.55,0.15,0.37,0.18,0.25,0.12,0.3,0.21,0.25,0.34
cornerstone.csv,0.19,0.11,0.09,0.13,0.09,0.12,0.18,0.12,0.01,0.0,0.32,0.2,0.04,0.21,0.0,0.06,0.23,0.29,0.1,0.0
emeraldemu.csv,0.53,0.25,0.55,0.75,0.09,0.08,0.15,0.2,0.07,0.21,0.62,0.03,0.04,0.0,0.06,0.0,0.11,0.0,0.15,0.14
grafx2.csv,0.55,0.32,0.34,0.31,0.18,0.24,0.25,0.24,0.26,0.15,0.6,0.5,0.43,0.16,0.56,0.25,0.41,0.21,0.15,0.32
jahshakafx.csv,0.25,0.31,0.46,0.27,0.18,0.11,0.22,0.39,0.28,0.11,0.53,0.08,0.28,0.13,0.31,0.25,0.38,0.58,0.27,0.2
kindb.csv,0.36,0.54,0.6,0.42,0.36,0.28,0.78,0.42,0.49,0.28,0.74,0.03,0.43,0.18,0.09,0.12,0.55,0.03,0.37,0.34
maya-work-in-progress.csv,0.71,0.47,0.4,0.25,1.0,0.41,0.7,0.63,0.72,0.15,0.98,0.51,0.48,0.26,0.38,0.31,0.63,0.63,0.68,0.45
netatalk.csv,0.37,0.68,0.83,0.76,0.45,0.52,0.55,0.63,0.76,0.53,0.85,0.38,0.35,0.74,0.78,0.81,0.72,0.34,0.66,0.45
novembre.csv,0.15,0.31,0.15,0.31,0.0,0.19,0.25,0.35,0.74,0.15,0.28,0.43,0.02,0.18,0.62,0.25,0.25,0.47,0.19,0.2
ns-3.csv,0.54,0.36,0.4,0.22,0.82,0.41,0.9,0.48,0.71,0.3,0.36,0.96,0.74,0.97,0.62,0.94,0.87,0.97,0.89,0.68
nullc.csv,0.45,0.88,0.99,0.78,0.0,0.37,0.5,0.41,0.43,0.04,0.68,0.18,0.52,0.24,0.28,0.25,0.66,0.29,0.38,0.32
open-beos.csv,0.39,0.44,0.31,0.53,0.18,0.27,0.55,0.57,0.25,0.09,0.26,0.84,0.57,0.47,0.25,0.75,0.44,0.74,0.4,0.3
pixel-commandos.csv,0.01,0.51,0.22,0.47,0.0,0.05,0.08,0.09,0.04,0.02,0.13,0.04,0.02,0.13,0.09,0.12,0.2,0.16,0.07,0.05
planeshift.csv,0.98,0.92,0.94,0.99,0.82,0.57,0.6,0.54,0.79,0.62,0.64,0.89,0.33,0.34,0.75,0.69,0.89,0.74,0.6,0.73
plee-the-bear.csv,0.31,0.2,0.25,0.03,0.55,0.53,0.48,0.73,0.64,0.17,0.62,0.43,0.57,0.58,0.62,0.69,0.39,0.61,0.62,0.5
reaper-ecad.csv,0.11,0.1,0.17,0.25,0.0,0.01,0.0,0.08,0.02,0.02,0.04,0.0,0.02,0.0,0.0,0.0,0.13,0.0,0.0,0.0
sbml.csv,0.47,0.38,0.51,0.57,0.09,0.33,0.78,0.77,0.45,0.49,0.64,0.66,0.7,0.18,0.22,0.44,0.35,0.53,0.64,0.23
unimrcp.csv,0.6,0.46,0.4,0.54,0.18,0.25,0.78,0.42,0.34,0.23,0.96,0.26,0.48,0.08,0.19,0.12,0.58,0.13,0.37,0.25
unladen-swallow.csv,0.09,0.2,0.19,0.04,0.09,0.15,0.48,0.3,0.22,0.11,0.15,0.32,0.33,0.13,0.12,0.19,0.25,0.37,0.34,0.11
xmoto.csv,0.38,0.37,0.37,0.02,0.27,0.49,0.52,0.32,0.37,0.28,0.55,0.45,0.24,0.24,0.53,0.62,0.49,0.97,0.42,0.25
