,rsyslog.csv,acegisecurity.csv,openxava.csv,vars-redux.csv,wow-qrsk.csv,ppcboot.csv,gnupdate.csv,repositorium.csv,ultimairis.csv,xqilla.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,3.0,0.0,31.0,1.0,37.0,0.0,2.0,6.0,0.0,47.0,0.0,0.0,1.0,0.0
biopax.csv,4.0,1.0,31.0,1.0,54.0,0.0,2.0,32.0,0.0,56.0,0.0,0.0,0.0,0.0
gnupdate.csv,0.0,3.0,8.0,1.0,16.0,0.0,0.0,3.0,0.0,119.0,0.0,2.0,1.0,0.0
les-indemodables.csv,0.0,3.0,24.0,3.0,7.0,0.0,1.0,5.0,2.0,4.0,0.0,0.0,4.0,0.0
openxava.csv,0.0,7.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,119.0,0.0,0.0,0.0,0.0
ppcboot.csv,1.0,15.0,31.0,1.0,14.0,0.0,0.0,16.0,1.0,43.0,10.0,0.0,0.0,0.0
repositorium.csv,3.0,9.0,9.0,1.0,30.0,0.0,105.0,0.0,0.0,119.0,0.0,2.0,2.0,0.0
rsyslog.csv,0.0,5.0,12.0,0.0,5.0,0.0,3.0,7.0,19.0,45.0,0.0,3.0,0.0,0.0
simplewebservices.csv,0.0,10.0,19.0,2.0,50.0,0.0,9.0,96.0,0.0,11.0,0.0,5.0,0.0,2.0
ultimairis.csv,4.0,5.0,28.0,3.0,19.0,0.0,2.0,4.0,0.0,119.0,0.0,0.0,0.0,0.0
vars-redux.csv,13.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,7.0,3.0,2.0,0.0,1.0
wow-qrsk.csv,4.0,7.0,61.0,2.0,0.0,0.0,2.0,96.0,1.0,27.0,0.0,0.0,0.0,0.0
wxstudio.csv,2.0,9.0,2.0,1.0,31.0,0.0,8.0,6.0,0.0,12.0,0.0,1.0,1.0,0.0
xqilla.csv,49.0,143.0,147.0,115.0,938.0,236.0,105.0,96.0,150.0,0.0,85.0,101.0,240.0,90.0
