,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,311.0,0.0,741.0,655.5,480.0,194.0,187.0,96.5,189.0,181.0,99.0,2829.5,194.0
badtrinity-zero.csv,285.5,187.0,99.0,1046.0,566.0,292.5,951.5,97.5,576.0,889.0,99.0,585.5,95.5
betoffice.csv,191.0,180.0,99.0,656.5,616.5,1436.0,951.5,97.5,383.0,475.0,99.0,1169.5,194.0
exordium.csv,374.0,187.0,98.5,566.0,375.0,96.5,90.5,97.5,277.5,734.0,98.5,875.0,372.0
fltk.csv,374.0,187.0,98.5,280.5,275.5,195.0,380.0,97.5,579.0,665.0,96.5,1577.5,95.5
gabel.csv,66.5,187.0,642.5,91.5,181.0,195.0,381.5,91.5,479.5,366.0,96.5,1031.0,95.5
genoviz.csv,166.0,23.5,98.5,79.5,181.0,93.5,56.5,97.5,248.5,370.0,89.5,525.0,95.5
irrlicht.csv,285.5,187.0,0.0,1233.0,846.5,292.5,951.5,97.5,675.5,759.5,99.0,1169.5,194.0
nug.csv,93.5,161.5,1018.5,168.0,370.0,168.0,474.0,96.5,94.5,274.5,98.5,3301.5,194.0
rezilla.csv,285.5,178.0,99.0,1047.0,856.0,195.0,756.5,97.5,186.0,185.0,94.5,1073.0,194.0
toped.csv,285.5,344.0,99.0,658.5,464.5,292.5,754.0,97.5,675.5,759.5,89.5,582.0,95.5
xmemcached.csv,93.5,187.0,99.0,469.5,846.5,194.0,951.5,96.5,189.0,660.5,99.0,874.5,194.0
zoolib.csv,374.0,187.0,98.5,187.0,371.0,195.0,480.0,97.5,481.5,366.0,96.5,1030.0,95.5
