,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.22,0.49,0.76,0.48,0.61,0.46,0.47,0.54,0.8,0.58,0.72,0.29
codesmith.csv,0.26,0.61,0.5,0.24,0.66,0.49,0.8,0.58,0.59,0.87,0.62,0.32
icescrum.csv,0.24,0.22,0.24,0.21,0.16,0.26,0.29,0.42,0.39,0.23,0.19,0.12
ingex.csv,0.62,0.45,0.47,0.59,0.66,0.57,0.66,0.24,0.95,0.43,0.59,0.24
jrefactory.csv,0.82,0.78,0.34,0.84,0.66,0.29,0.44,0.36,0.66,0.43,0.59,0.97
jsecurity.csv,0.11,0.25,0.53,0.22,0.08,0.51,0.29,0.12,0.29,0.32,0.06,0.65
libopenmetaverse.csv,1.0,0.99,0.97,1.0,0.92,0.31,1.0,0.88,0.95,0.36,0.97,0.18
lite.csv,0.15,0.37,0.63,0.23,0.08,0.54,0.4,0.58,0.22,0.4,1.0,0.21
mobicents.csv,0.56,0.48,0.61,0.27,0.11,0.66,0.32,0.8,0.24,0.62,0.75,0.44
opendvr.csv,0.55,0.48,0.68,0.31,0.47,1.0,0.46,1.0,0.66,0.28,0.53,0.56
openefm.csv,0.74,0.27,0.63,0.48,0.05,0.11,0.65,0.3,0.02,0.36,0.53,0.44
sidekar.csv,0.0,0.19,0.0,0.0,0.18,0.0,0.0,0.0,0.98,1.0,0.0,0.0
