,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.86,0.72,1.0,1.0,0.84,0.81,0.75,0.93,0.35,0.94,0.77,0.88,0.92,0.76
dvt.csv,0.7,0.83,0.66,0.95,0.86,0.42,0.82,0.98,0.48,0.78,0.6,0.72,0.97,1.0
flylinkdc.csv,0.36,0.76,0.97,0.91,0.66,0.89,0.66,0.89,0.79,0.47,0.74,0.95,1.0,0.79
fulguro.csv,1.0,0.83,0.78,0.73,0.75,0.84,0.72,0.88,0.68,0.79,1.01,0.63,0.85,0.64
gnome-jabber.csv,0.78,0.72,0.89,0.72,0.68,0.62,0.66,0.85,0.8,0.76,0.45,0.76,0.85,0.83
ipfire-wall.csv,0.67,0.8,0.54,0.82,0.38,0.76,0.96,0.67,0.83,0.33,0.88,0.77,0.83,0.66
jruby.csv,0.73,0.93,1.0,1.0,0.93,0.89,1.0,0.74,1.0,1.0,0.98,0.55,0.75,1.0
ldview.csv,0.96,0.75,0.53,0.84,0.85,0.77,0.55,0.62,0.94,0.86,0.4,0.78,0.88,0.75
maidsafe-dht.csv,0.84,0.73,0.74,0.93,0.41,0.84,0.72,0.75,0.92,0.42,0.92,0.93,0.75,0.91
nuttx.csv,0.59,0.87,0.97,0.58,0.79,0.96,0.63,0.87,0.62,0.92,0.76,0.84,0.62,0.92
oorexx.csv,0.61,0.86,0.73,0.79,0.53,0.74,0.61,0.63,0.76,0.79,0.6,0.82,0.56,0.72
red5.csv,0.85,0.91,0.74,0.78,0.84,0.85,0.89,0.49,0.92,0.84,1.0,0.86,0.76,1.0
vdsf.csv,0.84,0.76,0.67,1.01,0.86,0.81,0.64,1.01,0.84,0.89,1.0,0.9,0.89,0.85
xbrlapi.csv,0.84,0.5,1.0,0.98,0.8,0.82,0.7,0.79,0.91,0.64,1.0,0.98,0.66,0.48
